,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
55,by the applicant's representative Wilkowicz,by the applicant's representative Jermaine,,47982,5718
56,was represented by Rory,was represented by James,,37178,3700
57,by the respondent Tikiz,by the respondent Kari,,528,2743
58,by the respondent Qadam,by the respondent Elaine,,321,41463
59,case and advocate Karaman,case and advocate Kristin,,10546,259
60,case and advocate Gültekin,case and advocate Ashley,,5116,20899
61,a court designated by Bürger,a court designated by Kathy,,1362,33726
62,was represented by Tang,was represented by Amy,,18816,14235
63,the expert George,the expert Sean,,4502,11465
64,the expert Briz,the expert Ruth,,89,22132
65,by the respondent Kuloğlu,by the respondent Kayla,,2290,5031
66,by the applicant Holmedal,by the applicant Susan,,282,14919
67,by the applicant's representative Lloyd,by the applicant's representative Monica,,22361,23240
68,was represented by Kaplan,was represented by Jessica,,37105,17352
69,case and advocate Tullichettle,case and advocate Kimberly,,23296,48685
70,a court designated by Ottan,a court designated by Gabrielle,,272,293
71,by the applicant Arasan,by the applicant Jennifer,,272,16348
72,by the applicant Hopmann,by the applicant Debra,,9038,430
73,case and advocate Malek,case and advocate Tamara,,988,3301
74,the expert İşler,the expert Lacey,,1754,25415
75,case and advocate Saim,case and advocate Stacey,,1385,25415
76,case and advocate Arkadiusz,case and advocate Bruce,,89,11088
77,a court designated by Ferenc,a court designated by Adrienne,,10782,710
78,a court designated by Załuska,a court designated by James,,4914,3700
79,the expert Mondragon,the expert Kenneth,,25753,23632
80,the expert Jäckel,the expert Shannon,,7750,28108
81,case and advocate Beygo,case and advocate Kimberly,,2188,48685
82,by the applicant Leslie,by the applicant Maria,,26909,14200
83,by the respondent Gabsa,by the respondent Julie,,64,21946
84,case and advocate Hellborg,case and advocate Traci,,23297,32009
85,by the respondent Babiarz,by the respondent Tina,,89,35903
86,by the applicant guardias,by the applicant Johnathan,,4448,6696
87,by the applicant's representative Gustafson,by the applicant's representative Justin,,1559,10799
88,a court designated by Soroa,a court designated by Carla,,12162,5031
89,by the applicant Ngo,by the applicant Cynthia,,2188,40897
90,by the applicant Ahmed,by the applicant Ian,,21157,12930
91,the expert Kaczmarczyk,the expert Crystal,,46355,12969
92,by the applicant's representative Sampson,by the applicant's representative Stacey,,1559,25415
93,case and advocate Lorenzen,case and advocate Kenneth,,4801,23632
94,case and advocate Aslangiray,case and advocate Gabriel,,323,17371
95,case and advocate Güner,case and advocate Gregory,,1008,20653
96,by the applicant's representative Danuta,by the applicant's representative Tonya,,29822,64
97,the expert MacDuff,the expert Kaitlin,,1648,2815
98,case and advocate Obermeier,case and advocate Karina,,49468,1437
99,a court designated by Karataş,a court designated by Courtney,,46481,36677
100,case and advocate Triantafillides,case and advocate Elizabeth,,1460,10674
101,a court designated by Polewczak,a court designated by Shawn,,461,25225
102,case and advocate Kidd,case and advocate Angela,,40144,17799
103,case and advocate Kaspar,case and advocate Tamara,,1845,3301
104,by the respondent Herndl,by the respondent Shannon,,75,28108
105,the expert Kozimor,the expert Yolanda,,273,5282
106,was represented by Matscher,was represented by Tasha,,2044,14715
107,a court designated by father,a court designated by Allen,,2988,9659
108,by the applicant Öztürk,by the applicant Daniel,,74,7806
109,by the applicant Türkan,by the applicant James,,27541,3700
110,case and advocate Brough,case and advocate Traci,,740,32009
111,by the respondent Józef,by the respondent Margaret,,891,19579
112,by the applicant's representative Affairs,by the applicant's representative Mark,,10665,2940
113,by the applicant's representative Cinel,by the applicant's representative Brandy,,20538,10757
114,by the applicant's representative Gaasbeek,by the applicant's representative Daniel,,988,7806
115,by the respondent Christensen,by the respondent Danny,,49195,15105
116,case and advocate Görsav,case and advocate Laura,,615,16753
117,was represented by Torun,was represented by Debra,,403,430
118,by the respondent Morrison,by the respondent Lori,,24454,43741
119,by the applicant's representative Klimkiewicz,by the applicant's representative Gilbert,,48596,24023
120,a court designated by McClure,a court designated by Renee,,495,1453
121,by the applicant's representative Eyüp,by the applicant's representative Marissa,,79,13808
122,case and advocate auditeur,case and advocate Yolanda,,333,5282
123,was represented by Wingerter,was represented by Thomas,,353,5658
124,the expert Kazım,the expert Tina,,76,35903
125,case and advocate Bader,case and advocate Maureen,,5067,49851
126,case and advocate Mulrenan,case and advocate Justin,,272,10799
127,by the applicant's representative Lillo,by the applicant's representative Brandy,,16111,10757
128,a court designated by Remli,a court designated by Kelsey,,4528,4397
129,by the applicant's representative Nacic,by the applicant's representative Yvette,,291,33573
130,by the applicant Bayne,by the applicant Rhonda,,710,13533
131,by the applicant's representative Masters,by the applicant's representative Paige,,15812,42847
132,by the applicant Kück,by the applicant James,,694,3700
133,a court designated by Günyaktı,a court designated by Paul,,30102,3362
134,by the respondent Türk,by the respondent James,,74,3700
135,a court designated by Seton,a court designated by Colleen,,261,20042
136,by the applicant's representative Cichla,by the applicant's representative Mckenzie,,5031,26389
137,by the respondent Bertelsen,by the respondent Mallory,,25328,652
138,the expert Napiers,the expert Stacey,,3183,25415
139,was represented by Attorney,was represented by Cheryl,,8123,37958
140,case and advocate Spaniards,case and advocate Gary,,1371,10936
141,by the applicant Przybylska,by the applicant Sandra,,4914,32464
142,a court designated by McCowan,a court designated by Robert,,45197,5199
143,the expert Playle,the expert Jacqueline,,293,4470
144,by the respondent Dalila,by the respondent Tonya,,10102,64
145,by the respondent Emüler,by the respondent James,,1754,3700
146,by the respondent Wróblewski,by the respondent Kevin,,4106,7939
147,a court designated by Christ,a court designated by Matthew,,1951,9308
148,was represented by İşcan,was represented by Lauren,,5171,25672
149,the expert Salduz,the expert Jason,,89,8982
150,was represented by Ferhan,was represented by Jasmine,,7637,3810
151,the expert Yash,the expert Shelly,,1077,12810
152,by the applicant Jovin,by the applicant Adrienne,,259,710
153,a court designated by Serdar,a court designated by Brianna,,27455,7697
154,the expert Keane,the expert Heather,,46160,24253
155,was represented by Fennelly,was represented by Jo,,6148,5302
156,the expert Austria,the expert Jennifer,,17322,16348
157,case and advocate Kazan,case and advocate Stacey,,272,25415
158,a court designated by Sibel,a court designated by Zachary,,43837,560
159,by the applicant's representative Esin,by the applicant's representative Zachary,,259,560
160,by the respondent Oğraş,by the respondent John,,46481,1757
161,case and advocate Fitzgerald,case and advocate Shaun,,28397,35188
162,by the respondent Johannes,by the respondent James,,38579,3700
163,by the applicant's representative Copland,by the applicant's representative Zachary,,1044,560
164,was represented by Spano,was represented by Zachary,,5733,560
165,a court designated by Urbanek,a court designated by Renee,,988,1453
166,a court designated by wife,a court designated by Jeremy,,3656,11753
167,by the respondent Maaouia,by the respondent Michael,,544,3899
168,the expert Harborg,the expert Jeffery,,23297,1924
169,by the applicant's representative Kaba,by the applicant's representative Tonya,,15498,64
170,the expert Ocak,the expert Robert,,461,5199
171,by the applicant's representative Condron,by the applicant's representative Kiara,,1313,3301
172,the expert Khan,the expert Sonia,,11356,20733
173,was represented by Balpazarı,was represented by Timothy,,30102,22283
174,the expert İlhan,the expert Stephen,,7637,7970
175,by the respondent Oest,by the respondent Debra,,395,430
176,by the applicant's representative Fura,by the applicant's representative Janice,,5330,501
177,a court designated by Koluaçık,a court designated by Elizabeth,,74,10674
178,case and advocate Agit,case and advocate Alejandro,,270,47983
179,a court designated by Marta,a court designated by Sherry,,64,563
180,was represented by Walumba,was represented by Ann,,64,5506
181,by the applicant's representative Werner,by the applicant's representative Cheryl,,48642,37958
182,was represented by Lionel,was represented by Linda,,44286,21776
183,by the applicant Erdim,by the applicant Monique,,320,2350
184,by the applicant's representative Orhun,by the applicant's representative Eileen,,20088,42236
185,a court designated by Bsirske,a court designated by Heather,,365,24253
186,was represented by Kanat,was represented by Monique,,265,2350
187,by the applicant Bishop,by the applicant Nancy,,16559,18496
188,by the respondent Sidney,by the respondent Alex,,35727,4422
189,by the applicant Höhne,by the applicant Amy,,710,14235
190,by the applicant Witt,by the applicant Gregory,,38005,20653
191,was represented by Ilhami,was represented by Clayton,,72,32108
192,by the applicant's representative Kooijmans,by the applicant's representative Brandon,,16221,14328
193,by the respondent Fischbach,by the respondent Courtney,,19496,36677
194,by the respondent Daş,by the respondent Terri,,46481,380
195,the expert Mohammed,the expert Patricia,,19773,30223
196,by the respondent White,by the respondent Paul,,2635,3362
197,by the respondent Zys,by the respondent Bridget,,893,17484
198,was represented by Somers,was represented by Jack,,39879,3619
199,by the applicant's representative Vautier,by the applicant's representative Darryl,,959,75
200,case and advocate Leşker,case and advocate Jose,,6122,5264
201,by the applicant Dale,by the applicant Alexandra,,20412,44075
202,was represented by Mulet,was represented by Joann,,1616,1236
203,the expert Eric,the expert Angel,,7651,3905
204,case and advocate Serene,case and advocate Kelsey,,710,4397
205,by the applicant's representative Krzysztof,by the applicant's representative Aaron,,69,12139
206,by the respondent Leuba,by the respondent Dominique,,22013,2350
207,a court designated by Özpolat,a court designated by Teresa,,265,34405
208,case and advocate Talip,case and advocate David,,541,3271
209,by the applicant's representative Jip,by the applicant's representative Janice,,541,501
210,by the applicant's representative Flieger,by the applicant's representative Adrienne,,1362,710
211,by the applicant's representative Krzysztofa,by the applicant's representative Michael,,13331,3899
212,by the applicant Rösslhuber,by the applicant Diane,,527,26542
213,a court designated by Blum,a court designated by Kristopher,,388,8803
214,a court designated by Gülten,a court designated by Samuel,,1452,17100
215,by the respondent Dahlström,by the respondent Lisa,,76,15378
216,by the applicant's representative Beckles,by the applicant's representative Eduardo,,829,13109
217,by the applicant Ostra,by the applicant Kari,,12044,2743
218,was represented by Shayler,was represented by Breanna,,1754,7697
219,by the respondent Gustaf,by the respondent Annette,,1878,48115
220,the expert Rosenmüller,the expert Thomas,,6051,5658
221,by the applicant's representative Şennur,by the applicant's representative Bryan,,333,17857
222,by the respondent Hakan,by the respondent Charlene,,272,1734
223,by the applicant's representative Erman,by the applicant's representative Angelica,,805,3970
224,case and advocate Schermers,case and advocate Breanna,,11056,7697
225,case and advocate Ohms,case and advocate Brandi,,907,72
226,by the applicant COLLINS,by the applicant Kendra,,20913,430
227,by the respondent Pal,by the respondent Tony,,3175,8832
228,by the respondent Crafoord,by the respondent Belinda,,585,22261
229,case and advocate Opsahl,case and advocate Brandi,,15668,72
230,was represented by Mayer,was represented by Laura,,33996,16753
231,a court designated by Güran,a court designated by Crystal,,2596,12969
232,by the respondent Monica,by the respondent Michele,,23240,38872
233,case and advocate Kerem,case and advocate Phyllis,,76,271
234,by the applicant's representative Rohner,by the applicant's representative Kendra,,1008,430
235,was represented by Gövderelioğlu,was represented by Charles,,2290,7516
236,by the applicant Pearson,by the applicant Lisa,,31074,15378
237,by the respondent Globe,by the respondent James,,18260,3700
238,a court designated by Holland,a court designated by James,,16070,3700
239,by the applicant forces,by the applicant Luis,,3386,20894
240,was represented by Poduschka,was represented by Carla,,4914,5031
241,by the applicant Moriarty,by the applicant Brittney,,25494,1681
242,by the respondent Pantiru,by the respondent Kristie,,35406,494
243,by the applicant's representative Laird,by the applicant's representative Kristin,,67,259
244,by the respondent Isfen,by the respondent Ruben,,41037,268
245,the expert Dillon,the expert Judy,,40057,26395
246,a court designated by Kurtuluş,a court designated by Kathleen,,46481,31275
247,a court designated by McKell,a court designated by Colleen,,695,20042
248,the expert Emin,the expert Daniel,,37912,7806
249,by the applicant Şakir,by the applicant Denise,,343,43596
250,by the respondent Stein,by the respondent Sara,,15215,24799
251,case and advocate Stark,case and advocate Tracy,,20956,31140
252,by the respondent Kopf,by the respondent Stacey,,69,25415
253,case and advocate Bodein,case and advocate Mikayla,,259,5031
254,the expert Irurzun,the expert Cory,,403,28785
255,by the applicant's representative Jäderblom,by the applicant's representative Alejandro,,296,47983
256,by the applicant's representative Dear,by the applicant's representative Stephen,,23420,7970
257,the expert Fozia,the expert Stacie,,544,494
258,by the respondent Kovalevsky,by the respondent Steven,,2584,8239
259,was represented by Vinter,was represented by Jasmine,,3849,3810
260,case and advocate Youlten,case and advocate Nicholas,,1452,20320
261,case and advocate Halina,case and advocate Maureen,,1437,49851
262,case and advocate Andrine,case and advocate Zachary,,7640,560
263,by the applicant Turğay,by the applicant Katelyn,,323,77
264,by the respondent Tuna,by the respondent Paul,,9613,3362
265,by the respondent Wiatrzyk,by the respondent Dylan,,46355,21371
266,case and advocate Gaukur,case and advocate Ryan,,333,6047
267,by the applicant Löffelmann,by the applicant Robert,,9038,5199
268,by the applicant Krasuska,by the applicant Zachary,,4914,560
269,a court designated by Özbek,a court designated by Ashlee,,40413,7197
270,by the applicant Emrah,by the applicant Tamara,,11392,3301
271,by the applicant's representative Kamlesh,by the applicant's representative Sherri,,29730,380
272,the expert Durasik,the expert Chelsey,,1134,4397
273,a court designated by Woods,a court designated by Brian,,16483,8403
274,case and advocate Dumas,case and advocate Joanna,,292,7697
275,by the applicant Gülsüm,by the applicant Peter,,76,5613
276,case and advocate Putin,case and advocate Sean,,8144,11465
277,by the respondent Attı,by the respondent Gary,,30102,10936
278,by the applicant Jemoli,by the applicant Sean,,11106,11465
279,was represented by Abbas,was represented by Anthony,,28354,9953
280,by the respondent Emine,by the respondent Courtney,,500,36677
281,a court designated by Ródenas,a court designated by Dalton,,292,33261
282,by the respondent Sommerfeld,by the respondent Brian,,16265,8403
283,by the applicant Crown,by the applicant Michael,,12223,3899
284,a court designated by Hediye,a court designated by Anna,,5948,11735
285,by the applicant Szulejewski,by the applicant Patricia,,46151,30223
286,was represented by Tullberg,was represented by Christina,,3900,33673
287,by the applicant CEN,by the applicant Sheri,,1677,72
288,by the respondent Öngel,by the respondent Nicole,,417,25176
289,was represented by Geus,was represented by Krystal,,385,7757
290,by the respondent Penry,by the respondent Dominique,,563,2350
291,a court designated by Okresek,a court designated by Edward,,74,10443
292,case and advocate CHN,case and advocate Tracey,,45,25415
293,was represented by Lumba,was represented by Kenneth,,64,23632
294,a court designated by Grady,a court designated by Doris,,4597,271
295,was represented by NORMARK,was represented by Melinda,,14175,22261
296,a court designated by Glynn,a court designated by Jacqueline,,12935,4470
297,by the respondent Wrońska,by the respondent Mary,,4914,5335
298,was represented by Detlef,was represented by Susan,,69,14919
299,a court designated by Patela,a court designated by Victor,,5031,12622
300,case and advocate Thune,case and advocate Justin,,1726,10799
301,the expert Bering,the expert Jeanette,,1586,5857
302,a court designated by Loucaides,a court designated by Stephanie,,1460,26085
303,by the applicant's representative Nusret,by the applicant's representative Rebekah,,1186,993
304,was represented by Zakrzewska,was represented by Julia,,4914,22300
305,by the respondent Kamal,by the respondent Shelly,,282,12810
306,the expert Kammerer,the expert David,,11882,3271
307,by the applicant Abdülcebbar,by the applicant Michael,,5657,3899
308,by the applicant's representative Okat,by the applicant's representative Zachary,,265,560
309,the expert Hołowczak,the expert Brett,,461,18726
310,by the applicant's representative Gönül,by the applicant's representative Joseph,,75,7212
311,the expert Woodhead,the expert Briana,,2256,2271
312,by the respondent Hind,by the respondent Linda,,17099,21776
313,was represented by Hugo,was represented by Juan,,25930,16852
314,the expert Claesson,the expert Deanna,,39670,7697
315,by the applicant year,by the applicant Jared,,614,19116
316,the expert Fermín,the expert Darren,,39588,26203
317,the expert Liebl,the expert Sheri,,2436,72
318,by the respondent Çelik,by the respondent Tiffany,,1134,40928
319,a court designated by Ludwiczak,a court designated by Brittany,,461,48773
320,case and advocate Borgaard,case and advocate Heather,,446,24253
321,by the applicant's representative Ladner,by the applicant's representative Jodi,,1008,23130
322,was represented by Guisan,was represented by Marissa,,9057,13808
323,by the applicant's representative Gidel,by the applicant's representative Kristie,,5943,494
324,by the respondent Hadley,by the respondent Kayla,,1636,5031
325,case and advocate Andreou,case and advocate Christina,,280,33673
326,case and advocate Rayner,case and advocate Frank,,1008,5278
327,was represented by Ineta,was represented by Angelica,,17167,3970
328,by the applicant's representative Ireneu,by the applicant's representative Alex,,84,4422
329,by the applicant's representative Dennison,by the applicant's representative Kaitlin,,1653,2815
330,case and advocate Sünbül,case and advocate Kevin,,75,7939
331,by the applicant's representative Aylen,by the applicant's representative Ann,,268,5506
332,was represented by Bédat,was represented by Sarah,,19608,10490
333,the expert Emsihan,the expert Melissa,,272,24164
334,by the applicant's representative Jäggi,by the applicant's representative Donald,,72,3759
335,was represented by Charpentier,was represented by Jason,,959,8982
336,by the applicant December,by the applicant Jerry,,3426,13075
337,by the respondent McGuinness,by the respondent Colleen,,32990,20042
338,by the applicant's representative the,by the applicant's representative Mark,,262,2940
339,the expert Aydınkaya,the expert Edward,,35372,10443
340,the expert Bravo,the expert Catherine,,38990,22578
341,by the applicant Ferman,by the applicant Brianna,,2224,7697
342,by the respondent Jesús,by the respondent Tiffany,,82,40928
343,by the respondent Tejedor,by the respondent Anthony,,273,9953
344,a court designated by Zeynep,a court designated by Kaitlin,,538,2815
345,the expert Juul,the expert Kyle,,377,14316
346,by the applicant Marchi,by the applicant Brandy,,72,10757
347,a court designated by Wroński,a court designated by Christina,,20545,33673
348,was represented by Wainwright,was represented by Jennifer,,29995,16348
349,by the respondent Pakos,by the respondent Caitlin,,418,2815
350,a court designated by Humlen,a court designated by Tamara,,11925,3301
351,case and advocate Lynette,case and advocate Kayla,,5857,5031
352,case and advocate Scrivens,case and advocate Julie,,82,21946
353,by the applicant's representative Arif,by the applicant's representative Eduardo,,361,13109
354,case and advocate Marxer,case and advocate Vickie,,263,494
355,a court designated by Kadınan,a court designated by Makayla,,12647,5031
356,by the respondent Brenda,by the respondent Carol,,49495,5074
357,was represented by Paszkowski,was represented by Melissa,,26216,24164
358,by the applicant Ilknur,by the applicant Crystal,,333,12969
359,by the respondent Freeland,by the respondent Colleen,,8822,20042
360,by the applicant Gardel,by the applicant Zachary,,417,560
361,by the respondent Commissioner,by the respondent Oscar,,13270,15694
362,was represented by Clift,was represented by Zachary,,2135,560
363,by the respondent Öner,by the respondent Gail,,1008,603
364,was represented by Virgin,was represented by Timothy,,5283,22283
365,a court designated by Gary,a court designated by Erin,,10936,28894
366,by the applicant Ekiz,by the applicant Jodi,,528,23130
367,was represented by Eldem,was represented by Kelsey,,368,4397
368,by the applicant's representative Erbil,by the applicant's representative Latoya,,33473,23790
369,by the applicant's representative Catalan,by the applicant's representative Patricia,,31066,30223
370,a court designated by Tuncer,a court designated by Kayla,,2189,5031
371,by the applicant Sharif,by the applicant Joseph,,44144,7212
372,was represented by Meyer,was represented by Ryan,,23975,6047
373,by the respondent Gandasegui,by the respondent Abigail,,48317,603
374,was represented by Seeger,was represented by Kristi,,1362,72
375,a court designated by Hanley,a court designated by Caitlin,,1636,2815
376,a court designated by Rauch,a court designated by Caleb,,354,40777
377,a court designated by Andreas,a court designated by Donna,,33728,29216
378,case and advocate HERNDL,case and advocate Jonathan,,43,11232
379,case and advocate Terzi,case and advocate Meghan,,17027,6064
380,a court designated by Göran,a court designated by Gabrielle,,2596,293
381,by the applicant Abdulvahit,by the applicant Lauren,,270,25672
382,by the respondent Kervanoğlu,by the respondent Ashley,,2290,20899
383,was represented by Ağın,was represented by Stephanie,,77,26085
384,by the applicant Grace,by the applicant Lindsay,,16156,33127
385,the expert Spain,the expert Pamela,,8602,43341
386,the expert Núñez,the expert Christopher,,8471,12803
387,by the applicant Aydın,by the applicant Dominic,,77,36401
388,was represented by Warluzel,was represented by Peter,,17396,5613
389,was represented by Taylor,was represented by Connor,,8121,27599
390,a court designated by Beattie,a court designated by Angelica,,494,3970
391,by the respondent Hüseyinoğlu,by the respondent Samantha,,2290,34778
392,the expert Yalçındağ,the expert James,,33133,3700
393,a court designated by Hirst,a court designated by Terrence,,667,6784
394,the expert Genç,the expert Madeline,,16175,4470
395,by the respondent Fibiger,by the respondent Belinda,,8254,22261
396,the expert Alfred,the expert Donna,,22044,29216
397,case and advocate Dulaş,case and advocate Glenn,,46481,17551
398,case and advocate Zehra,case and advocate Marissa,,45056,13808
399,the expert Jaeger,the expert Brandi,,1362,72
400,the expert Güven,the expert Melissa,,574,24164
401,a court designated by Czarnowski,a court designated by Jesse,,12079,18033
402,the expert Klingenberg,the expert Sheri,,23140,72
403,was represented by Casadevall,was represented by Michael,,439,3899
404,by the applicant's representative Warsaw,by the applicant's representative Wayne,,32955,13329
405,was represented by Shah,was represented by Robert,,18381,5199
406,a court designated by Goc,a court designated by Jasmine,,420,3810
407,by the applicant's representative Boyle,by the applicant's representative Jamie,,37619,17826
408,a court designated by Kanar,a court designated by Brandi,,283,72
409,the expert Södergren,the expert Katherine,,32762,32719
410,was represented by Palomo,was represented by Kelsey,,17902,4397
411,by the respondent Lipowicz,by the respondent Andres,,47982,411
412,by the applicant's representative Bäcklund,by the applicant's representative Angela,,37525,17799
413,by the respondent Wingert,by the respondent Terri,,861,380
414,by the respondent Dirik,by the respondent Terrence,,1134,6784
415,a court designated by Sepil,a court designated by Jeffery,,346,1924
416,the expert Oliver,the expert Gina,,15416,43002
417,by the applicant's representative Yavuz,by the applicant's representative Kaitlyn,,10277,6213
418,by the applicant's representative Mustafa,by the applicant's representative Renee,,28485,1453
419,by the respondent Antoniou,by the respondent Yolanda,,280,5282
420,by the respondent Ellis,by the respondent Emily,,21299,17608
421,case and advocate Sørensen,case and advocate Katherine,,6248,32719
422,the expert Głowacki,the expert Pamela,,72,43341
423,by the respondent Nur,by the respondent Kenneth,,49281,23632
424,was represented by Sturesson,was represented by Lisa,,261,15378
425,a court designated by Velimir,a court designated by Joshua,,13057,20700
426,by the applicant's representative Bazeley,by the applicant's representative Gabriela,,1636,10304
427,a court designated by Samuel,a court designated by Tom,,17100,4186
428,by the applicant Seamus,by the applicant Eduardo,,25509,13109
429,was represented by Höjer,was represented by Andrea,,44009,23174
430,a court designated by convening,a court designated by Eduardo,,278,13109
431,a court designated by Müzeyyen,a court designated by Todd,,268,14377
432,by the applicant's representative Marcus,by the applicant's representative Olivia,,17068,33911
433,case and advocate Rahmi,case and advocate Glenda,,11632,7438
434,was represented by Ferrari,was represented by Kristen,,23502,44467
435,by the respondent Sahro,by the respondent Mariah,,305,9520
436,a court designated by Landeshauptmann,a court designated by Amy,,9038,14235
437,by the applicant's representative Lawlor,by the applicant's representative Evelyn,,4685,6213
438,by the applicant's representative Elisabet,by the applicant's representative Anthony,,8380,9953
439,a court designated by Bystrowski,a court designated by Rhonda,,4106,13533
440,a court designated by Okan,a court designated by Zachary,,272,560
441,case and advocate Ormancı,case and advocate Seth,,30102,20194
442,by the applicant Yasser,by the applicant Gail,,24929,603
443,by the applicant McGettrick,by the applicant Kathryn,,624,48674
444,the expert İsmet,the expert Samantha,,4164,34778
445,the expert Mohammad,the expert Manuel,,29674,25995
446,case and advocate Hüseyin,case and advocate Ryan,,259,6047
447,by the applicant's representative McGowan,by the applicant's representative Lisa,,45197,15378
448,by the applicant's representative Mühl,by the applicant's representative Lawrence,,18519,13914
449,case and advocate Kärkkäinen,case and advocate Craig,,42326,13854
450,by the applicant Luis,by the applicant Lisa,,20894,15378
451,by the respondent Chodecki,by the respondent Jesse,,49108,18033
452,by the applicant Webster,by the applicant Haley,,31890,30646
453,case and advocate Hansson,case and advocate Kristin,,1559,259
454,a court designated by Caher,a court designated by Angelica,,372,3970
455,by the respondent Finlay,by the respondent Stacey,,10724,25415
456,was represented by Power,was represented by Karen,,4333,18678
457,case and advocate Rice,case and advocate Timothy,,13823,22283
458,by the applicant Majewski,by the applicant Brett,,46151,18726
459,the expert Secretary,the expert Drew,,4986,18624
460,case and advocate Schweickhardt,case and advocate Taylor,,28375,8121
461,was represented by Özbilge,was represented by Diane,,469,26542
462,by the applicant's representative Grainger,by the applicant's representative Annette,,3889,48115
463,by the respondent Clayton,by the respondent Karl,,32108,15415
464,the expert Concepción,the expert Jonathan,,18840,11232
465,by the respondent Chernyshov,by the respondent Victor,,28026,12622
466,by the applicant's representative Pardus,by the applicant's representative Kevin,,385,7939
467,by the respondent Oberhofer,by the respondent Alejandra,,30288,15918
468,by the applicant's representative Jag,by the applicant's representative Ellen,,35687,23811
469,by the respondent Eicke,by the respondent Mikayla,,365,5031
470,by the respondent Hoca,by the respondent Isabella,,11216,43653
471,a court designated by Masser,a court designated by Brandy,,263,10757
472,was represented by Unterpertingers,was represented by Timothy,,364,22283
473,case and advocate Mosler,case and advocate Jacqueline,,1754,4470
474,by the applicant Mangan,by the applicant Renee,,272,1453
475,was represented by Pohl,was represented by Krista,,48988,64
476,a court designated by Diplock,a court designated by Jeffery,,735,1924
477,was represented by İlkay,was represented by Brandi,,5568,72
478,the expert Brunner,the expert Glenda,,1008,7438
479,a court designated by MB,a court designated by Jane,,10771,12091
480,by the applicant Strzelczyk,by the applicant Angela,,46355,17799
481,case and advocate Coetzee,case and advocate Gabriela,,1453,10304
482,was represented by Ekeberg,was represented by Joy,,3900,14087
483,by the applicant Hałka,by the applicant Colin,,4914,18373
