,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
65, The court heard evidence in İstanbul, The court heard evidence in United Arab Emirates,,36563,47229
66, in the area of Warsaw’s Wola District, in the area of Warsaw’s Wola Germany,,4412,6176
67," The court heard evidence in Lublin, Poland"," The court heard evidence in Lublin, Finland",,16795,25270
68, school teacher incurrently detained in Lemgo, school teacher incurrently detained in Fiji,,2184,27520
69, lawyers practising in Konstancin‑Jeziorna, lawyers practising in Bouvet Island (Bouvetoya),,2072,10
70, The court heard evidence in Antalya, The court heard evidence in Paraguay,,66,333
71," The court in Piotrków Trybunalski, Poland"," The court in Piotrków Trybunalski, Austria",,16795,21753
72, lawyers practising in Kars, lawyers practising in Martinique,,1032,2271
73," in the area of Bielsko-Biała, Poland"," in the area of Bielsko-Biała, Cuba",,16795,24605
74, into existence in Ankara, into existence in Algeria,,4595,571
75," in the area of Włocławek, Poland"," in the area of Włocławek, Romania",,16795,34262
76," in the territory of Lębork, Poland"," in the territory of Lębork, Ghana",,16795,34905
77, into existence in İzmir, into existence in Montenegro,,17001,287
78, into existence in Maribor, into existence in Nicaragua,,263,45877
79, lawyers practising in Istanbul, lawyers practising in Morocco,,41460,40983
80, school teacher incurrently detained in Warsaw, school teacher incurrently detained in Argentina,,40431,23881
81, in the area of Istanbul, in the area of Portugal,,41460,24084
82, lawyers practising in Diyarbakır, lawyers practising in Timor-Leste,,43159,16300
83, school teacher incurrently detained in Rejowiec Fabryczny, school teacher incurrently detained in Rejowiec French Polynesia,,5134,571
84, The court in Hallabro, The court in Nauru,,287,86
85, The court heard evidence in Hrubieszów Prison, The court heard evidence in Hrubieszów Yemen,,31083,27412
86, into existence in Gdańsk, into existence in Botswana,,3319,3230
87, lawyers practising in Zabrze, lawyers practising in United States Virgin Islands,,2721,18708
88, into existence in Jelenia Góra, into existence in Jelenia Vanuatu,,376,37577
89, school teacher incurrently detained in Strzelin, school teacher incurrently detained in Cameroon,,249,251
90, school teacher incurrently detained in Strasbourg, school teacher incurrently detained in Bermuda,,32620,14776
91, lawyers practising in Van, lawyers practising in Japan,,10049,4047
92, The court in Tychy, The court in Comoros,,90,375
93, The court in Wrocław, The court in United States Virgin Islands,,1403,18708
94, The court in Dublin, The court in Peru,,24523,31805
95," The court heard evidence in Mikołów, Poland"," The court heard evidence in Mikołów, Portugal",,16795,24084
96, school teacher incurrently detained in Istanbul, school teacher incurrently detained in Switzerland,,41460,18908
97, The court heard evidence in London, The court heard evidence in Germany,,4693,6176
98, The court in Istanbul, The court in Jersey,,41460,8911
99, in the area of Warsaw, in the area of Lebanon,,40431,28746
100, The court in Istanbul, The court in Panama,,41460,37783
101, in the territory of Zawiercie, in the territory of New Caledonia,,29408,9409
102, The court heard evidence in Istanbul, The court heard evidence in Korea,,41460,9733
103, The court heard evidence in Izmir, The court heard evidence in Slovenia,,17001,571
104, The court heard evidence in Zgorzelec, The court heard evidence in Wallis and Futuna,,68,9821
105, The court heard evidence in Istiklal Street, The court heard evidence in Istiklal Israel,,5720,5143
106, lawyers practising in Wloszczowa, lawyers practising in Kyrgyz Republic,,11413,4687
107," The court heard evidence in Koszalin, Poland"," The court heard evidence in Koszalin, Cyprus",,16795,44637
108, school teacher incurrently detained in Bielsko-Biała, school teacher incurrently detained in Bielsko-Saint Helena,,35457,6736
109, in the territory of Warszawa, in the territory of Syrian Arab Republic,,11415,4687
110, The court heard evidence in Cracow, The court heard evidence in Andorra,,319,376
111, lawyers practising in Gdynia, lawyers practising in San Marino,,571,2610
112, lawyers practising in Sweden, lawyers practising in Kenya,,16842,27946
113, school teacher incurrently detained in Turkey, school teacher incurrently detained in Romania,,14307,34262
114, school teacher incurrently detained in Europe, school teacher incurrently detained in China,,3060,4135
115, The court in Warsaw, The court in Nepal,,40431,35020
116, in the area of Turkey, in the area of Ukraine,,14307,17111
117, The court heard evidence in Bursa, The court heard evidence in Nicaragua,,66,45877
118," in the territory of Human Rights Building, Strasbourg"," in the territory of Human Rights Building, Andorra",,32620,376
119, in the territory of Austria, in the territory of Poland,,21753,16795
120, school teacher incurrently detained in Şırnak, school teacher incurrently detained in Timor-Leste,,518,16300
121, in the area of Krakow, in the area of Equatorial Guinea,,319,34410
122, in the area of Istanbul, in the area of Ukraine,,41460,17111
123, The court heard evidence in Istanbul, The court heard evidence in Romania,,41460,34262
124, school teacher incurrently detained in Istanbul, school teacher incurrently detained in Panama,,41460,37783
125, The court in Warsaw, The court in Guatemala,,40431,46560
126, lawyers practising in Warsaw, lawyers practising in Ethiopia,,40431,35363
127, school teacher incurrently detained in Iran, school teacher incurrently detained in Jordan,,7751,13268
128," The court heard evidence in Human Rights Building, Strasbourg"," The court heard evidence in Human Rights Building, Bermuda",,32620,14776
129, in the area of Warsaw, in the area of Tanzania,,40431,45914
130, in the territory of Cyprus, in the territory of Finland,,44637,25270
131, in the territory of Katrancı Bay, in the territory of Katrancı Mexico,,6912,8987
132, school teacher incurrently detained in Aydın motorway, school teacher incurrently detained in Aydın Malawi,,1106,33259
133," into existence in Kraków, Poland"," into existence in Kraków, Austria",,16795,21753
134, in the area of Izmir, in the area of Gambia,,17001,571
135, into existence in Stawowa Street, into existence in Stawowa Mexico,,5720,8987
136," in the area of Human Rights Building, Strasbourg"," in the area of Human Rights Building, Rwanda",,32620,7447
137, The court in bus terminus, The court in bus Japan,,43259,4047
138, The court heard evidence in Istanbul, The court heard evidence in Switzerland,,41460,18908
139, lawyers practising in Wrocław, lawyers practising in Swaziland,,1403,395
140, The court heard evidence in Yoğurtçu village, The court heard evidence in Yoğurtçu Malta,,7773,47832
141, into existence in İzmir (Turkey), into existence in İzmir Swaziland,,10,395
142, school teacher incurrently detained in Istanbul, school teacher incurrently detained in Niger,,41460,32345
143, The court in Strasbourg, The court in British Virgin Islands,,32620,18708
144, in the territory of Brzeg, in the territory of Nicaragua,,909,45877
145, school teacher incurrently detained in Radomsko, school teacher incurrently detained in Liechtenstein,,7381,6339
146, school teacher incurrently detained in Głogów, school teacher incurrently detained in Saint Barthelemy,,18538,2577
147, in the territory of İzmir, in the territory of United States of America,,17001,3968
148, in the area of Istanbul, in the area of Switzerland,,41460,18908
149, The court heard evidence in Dąbrowa Górnicza, The court heard evidence in Dąbrowa Timor-Leste,,4019,16300
150, The court in Wrocław, The court in Uzbekistan,,1403,7399
151, into existence in Ankara, into existence in Barbados,,4595,8585
152, The court in Ankara, The court in Mongolia,,4595,25119
153," in the area of Human Rights Building, Strasbourg"," in the area of Human Rights Building, Andorra",,32620,376
154, The court heard evidence in Diyarbakır, The court heard evidence in Wallis and Futuna,,43159,9821
155, in the territory of Katowice, in the territory of Nicaragua,,547,45877
156, The court heard evidence in Warsaw, The court heard evidence in Iraq,,40431,9256
157, school teacher incurrently detained in Ankara (Turkey), school teacher incurrently detained in Ankara French Southern Territories,,10,2370
158, in the territory of Mersin, in the territory of Vanuatu,,249,37577
159, into existence in Istanbul, into existence in Ireland,,41460,11011
160, lawyers practising in Poznań, lawyers practising in Montserrat,,20729,255
161," school teacher incurrently detained in Diyarbakır, Turkey"," school teacher incurrently detained in Diyarbakır, Switzerland",,14307,18908
162, school teacher incurrently detained in Praszka, school teacher incurrently detained in Saint Barthelemy,,4530,2577
163," The court in Wrocław, Poland"," The court in Wrocław, Switzerland",,16795,18908
164," The court in Köln, Germany"," The court in Köln, Mexico",,6176,8987
165, The court in Bestwina, The court in Lesotho,,1758,80
166, lawyers practising in Żary, lawyers practising in Equatorial Guinea,,552,34410
167," in the area of Liberty, London"," in the area of Liberty, India",,4693,5427
168, school teacher incurrently detained in Włodawa, school teacher incurrently detained in Saint Barthelemy,,11415,2577
169," in the area of Chrzanów, Poland"," in the area of Chrzanów, Panama",,16795,37783
170, in the area of Poland, in the area of Zimbabwe,,16795,38581
171," into existence in Katowice, Poland"," into existence in Katowice, Malta",,16795,47832
172," lawyers practising in Hamburg, Germany"," lawyers practising in Hamburg, Spain",,6176,11268
173, school teacher incurrently detained in Łódź, school teacher incurrently detained in Lao People's Democratic Republic,,120,4687
174, The court in Gdańsk, The court in French Southern Territories,,3319,2370
175, school teacher incurrently detained in Wrocław, school teacher incurrently detained in United States Virgin Islands,,1403,18708
176, school teacher incurrently detained in Katowice, school teacher incurrently detained in Cameroon,,547,251
177, The court heard evidence in Kraków (Poland), The court heard evidence in Kraków United States of America,,10,3968
178, The court heard evidence in London, The court heard evidence in Spain,,4693,11268
179, school teacher incurrently detained in Poznań, school teacher incurrently detained in Swaziland,,20729,395
180, The court heard evidence in Gdańsk‑Zaspa, The court heard evidence in South Georgia and the South Sandwich Islands,,4904,18708
181, The court in Częstochowa, The court in Brunei Darussalam,,11413,45321
182, The court in Stockholm, The court in Peru,,38476,31805
183," in the area of Płock, Poland"," in the area of Płock, Hungary",,16795,29171
184," in the area of Białystok, Poland"," in the area of Białystok, Ghana",,16795,34905
185, The court heard evidence in Wydminy, The court heard evidence in Saint Barthelemy,,90,2577
186," in the territory of Częstochowa, Poland"," in the territory of Częstochowa, Sudan",,16795,27325
187, in the area of London, in the area of Jordan,,4693,13268
188, in the territory of Katowice, in the territory of Western Sahara,,547,4595
189," The court in Szamotuły, Poland"," The court in Szamotuły, Austria",,16795,21753
190, into existence in Cracow, into existence in Western Sahara,,319,4595
191, in the territory of Lublin, in the territory of Latvia,,21751,13917
192, into existence in Gryta, into existence in Suriname,,893,482
193, lawyers practising in Ostróda, lawyers practising in Northern Mariana Islands,,1473,18708
194, The court heard evidence in Warsaw, The court heard evidence in Uganda,,40431,35522
195, lawyers practising in Lubianka, lawyers practising in Cayman Islands,,4530,18708
196," into existence in Łódź, Poland"," into existence in Łódź, Morocco",,16795,40983
197, The court in Gdynia, The court in Tuvalu,,571,86
198, The court heard evidence in Warsaw, The court heard evidence in Somalia,,40431,46699
199, The court in Gdynia, The court in Gibraltar,,571,17447
200, into existence in Świętokrzyski Region, into existence in Świętokrzyski Canada,,18973,6144
201, into existence in Bydgoszcz, into existence in Timor-Leste,,14617,16300
202, The court heard evidence in Rejowiec Fabryczny, The court heard evidence in Rejowiec French Polynesia,,5134,571
203," The court heard evidence in Goleniów, Poland"," The court heard evidence in Goleniów, Denmark",,16795,22783
204, school teacher incurrently detained in Warszawa, school teacher incurrently detained in Namibia,,11415,571
205," in the area of Ołdrzychowice, Poland"," in the area of Ołdrzychowice, Egypt",,16795,10253
206," into existence in Częstochowa, Poland"," into existence in Częstochowa, Egypt",,16795,10253
207," in the territory of Sopot, Poland"," in the territory of Sopot, Chad",,16795,34884
208, in the area of London, in the area of France,,4693,6181
209, The court in Poland, The court in Qatar,,16795,38372
210, in the area of Poniatowa, in the area of Tajikistan,,11413,7399
211, school teacher incurrently detained in London, school teacher incurrently detained in Jordan,,4693,13268
212," in the territory of Szczecin, Poland"," in the territory of Szczecin, Serbia",,16795,37959
213, school teacher incurrently detained in Bydgoszcz, school teacher incurrently detained in Timor-Leste,,14617,16300
214," in the area of Wrocław, Poland"," in the area of Wrocław, Ecuador",,16795,40145
215, into existence in Warszawa, into existence in Seychelles,,11415,265
216, The court in Pabianice, The court in Montenegro,,547,287
217," school teacher incurrently detained in Siemianowice Śląskie, Poland"," school teacher incurrently detained in Siemianowice Śląskie, Yemen",,16795,27412
218," into existence in Jarosław, Poland"," into existence in Jarosław, Morocco",,16795,40983
219, in the area of Koszalin, in the area of Mauritius,,19337,3750
220," in the territory of Poznań, Poland"," in the territory of Poznań, Romania",,16795,34262
221," school teacher incurrently detained in Opole, Poland"," school teacher incurrently detained in Opole, Turkey",,16795,14307
222, in the area of Wrocław, in the area of French Southern Territories,,1403,2370
223, The court heard evidence in Lublin, The court heard evidence in Fiji,,21751,27520
224, in the area of Józefosław, in the area of Cote d'Ivoire,,1403,603
225, The court heard evidence in Mieścisko, The court heard evidence in United States Minor Outlying Islands,,80,18708
226, lawyers practising in Kraków, lawyers practising in Andorra,,18538,376
227, The court in Glasgow, The court in Korea,,31127,9733
228," school teacher incurrently detained in Bielawa, Poland"," school teacher incurrently detained in Bielawa, Congo",,16795,37642
229," in the territory of Zabrze, Poland"," in the territory of Zabrze, Ecuador",,16795,40145
230," school teacher incurrently detained in Toruń, Poland"," school teacher incurrently detained in Toruń, Congo",,16795,37642
231," in the area of Zakopane, Poland"," in the area of Zakopane, Yemen",,16795,27412
232, lawyers practising in Poznań, lawyers practising in United States Virgin Islands,,20729,18708
233, The court heard evidence in London, The court heard evidence in Israel,,4693,5143
234, lawyers practising in Lublin, lawyers practising in Togo,,21751,24912
235, in the territory of Devon, in the territory of Chad,,40316,34884
236," in the territory of Gdańsk, Poland"," in the territory of Gdańsk, Sudan",,16795,27325
237, into existence in Strzelce Opolskie, into existence in Strzelce Eritrea,,38703,15593
238," in the territory of Dąbrowa Górnicza, Poland"," in the territory of Dąbrowa Górnicza, Congo",,16795,37642
239, in the area of Tarnowskie Góry Prison, in the area of Tarnowskie Góry Austria,,31083,21753
240, in the territory of Koszalin Detention Centre, in the territory of Koszalin Detention Congo,,12169,37642
241, in the area of Wrocław, in the area of New Caledonia,,1403,9409
242, school teacher incurrently detained in Londonderry, school teacher incurrently detained in Vanuatu,,610,37577
243, lawyers practising in Łódź, lawyers practising in Heard Island and McDonald Islands,,120,18708
244," The court heard evidence in Wizna, Poland"," The court heard evidence in Wizna, Norway",,16795,20341
245, in the area of Łódź, in the area of Saint Pierre and Miquelon,,120,46842
246, The court heard evidence in Paris, The court heard evidence in France,,7785,6181
247, in the territory of Paris, in the territory of Israel,,7785,5143
248, in the territory of Paris, in the territory of Japan,,7785,4047
249, in the territory of Neuilly-sur-Seine, in the territory of Neuilly-sur-Denmark,,460,22783
250, lawyers practising in Van, lawyers practising in Brazil,,10049,10869
251," school teacher incurrently detained in Human Rights Building, Strasbourg"," school teacher incurrently detained in Human Rights Building, Equatorial Guinea",,32620,34410
252, The court heard evidence in Lummen (Belgium), The court heard evidence in Lummen Northern Mariana Islands,,10,18708
253, into existence in Istanbul, into existence in Switzerland,,41460,18908
254, in the territory of Ossès, in the territory of Micronesia,,12713,571
255, school teacher incurrently detained in İzmir, school teacher incurrently detained in United States of America,,17001,3968
256, school teacher incurrently detained in Warszawa, school teacher incurrently detained in Seychelles,,11415,265
257, into existence in Aydın, into existence in Micronesia,,19806,571
258, The court heard evidence in Tczew, The court heard evidence in Equatorial Guinea,,999,34410
259, in the territory of Białystok, in the territory of Wallis and Futuna,,536,9821
260, in the territory of Istanbul, in the territory of Thailand,,41460,23174
261, The court in Śmiłowo, The court in Heard Island and McDonald Islands,,80,18708
262," lawyers practising in Szczecin, Poland"," lawyers practising in Szczecin, Ecuador",,16795,40145
263, school teacher incurrently detained in Istanbul, school teacher incurrently detained in Hungary,,41460,29171
264, The court heard evidence in Warszawa, The court heard evidence in Mauritania,,11415,571
265, in the territory of Izmir, in the territory of Bahamas,,17001,33122
266, in the area of Germany, in the area of India,,6176,5427
267, in the area of Wrocław, in the area of Madagascar,,1403,274
268," The court heard evidence in Warsaw, Poland"," The court heard evidence in Warsaw, Zimbabwe",,16795,38581
269, The court heard evidence in Buca District, The court heard evidence in Buca Australia,,4412,6976
270, into existence in Antwerp, into existence in American Samoa,,47952,12354
271, in the area of Istanbul, in the area of Qatar,,41460,38372
272, lawyers practising in Diyarbakır, lawyers practising in Wallis and Futuna,,43159,9821
273," lawyers practising in Wrocław, Poland"," lawyers practising in Wrocław, Iceland",,16795,28651
274, school teacher incurrently detained in Ankara, school teacher incurrently detained in Hong Kong,,4595,13591
275, into existence in Istanbul, into existence in Denmark,,41460,22783
276, The court heard evidence in Olsztyn, The court heard evidence in Wallis and Futuna,,79,9821
277, school teacher incurrently detained in Gdynia, school teacher incurrently detained in Western Sahara,,571,4595
278, school teacher incurrently detained in Nicosia, school teacher incurrently detained in Liechtenstein,,571,6339
279, in the area of Turkey, in the area of Peru,,14307,31805
280, The court heard evidence in Istanbul, The court heard evidence in Italy,,41460,9972
281, The court heard evidence in Istanbul, The court heard evidence in Ireland,,41460,11011
282," in the area of Wrocław, Poland"," in the area of Wrocław, Malta",,16795,47832
283, into existence in Istanbul, into existence in Switzerland,,41460,18908
284, school teacher incurrently detained in Istanbul, school teacher incurrently detained in Iceland,,41460,28651
285," school teacher incurrently detained in Łódź, Poland"," school teacher incurrently detained in Łódź, Norway",,16795,20341
286," in the territory of Zamość, Poland"," in the territory of Zamość, Egypt",,16795,10253
287, in the area of Siberia, in the area of Liberia,,571,571
288, in the area of Trabzon, in the area of Tuvalu,,5894,86
289, into existence in Istanbul, into existence in Ukraine,,41460,17111
290, The court in Nicosia, The court in Tokelau,,571,1952
291, into existence in Istanbul, into existence in Pakistan,,41460,13115
292, in the area of Gdańsk, in the area of Madagascar,,3319,274
293, The court in Ankara (Turkey, The court in Ankara Anguilla,,2364,6077
294, The court in Ankara, The court in Norfolk Island,,4595,8451
295, in the territory of Nicosia, in the territory of American Samoa,,571,12354
296, The court in Warsaw, The court in Philippines,,40431,22075
297, lawyers practising in Warsaw, lawyers practising in Kuwait,,40431,46614
298, school teacher incurrently detained in Ayios Amvrosios, school teacher incurrently detained in Ayios Uzbekistan,,3783,7399
299, The court in Istanbul, The court in Hungary,,41460,29171
300, in the area of Iran, in the area of France,,7751,6181
301," The court in Bełchatów, Poland"," The court in Bełchatów, Italy",,16795,9972
302, The court heard evidence in Diyarbakır, The court heard evidence in Kyrgyz Republic,,43159,4687
303, in the area of Şırnak, in the area of Timor-Leste,,518,16300
304," The court heard evidence in Kraków, Poland"," The court heard evidence in Kraków, Cuba",,16795,24605
305," lawyers practising in Łódź, Poland"," lawyers practising in Łódź, Cuba",,16795,24605
306, lawyers practising in Turkey, lawyers practising in Malta,,14307,47832
307, lawyers practising in Trabzon, lawyers practising in French Guiana,,5894,8960
308, The court heard evidence in Trzebnica, The court heard evidence in Wallis and Futuna,,3737,9821
309, school teacher incurrently detained in Turkey, school teacher incurrently detained in Morocco,,14307,40983
310, school teacher incurrently detained in Diyarbakır, school teacher incurrently detained in Wallis and Futuna,,43159,9821
311, in the territory of Budapest, in the territory of Thailand,,50086,23174
312," The court in Olsztyn, Poland"," The court in Olsztyn, Pakistan",,16795,13115
313, The court in Poznań, The court in French Southern Territories,,20729,2370
314, in the territory of Istanbul, in the territory of Turkey,,41460,14307
315, school teacher incurrently detained in Warszawa, school teacher incurrently detained in Tajikistan,,11415,7399
316, school teacher incurrently detained in Glinica, school teacher incurrently detained in Andorra,,3737,376
317, The court heard evidence in Turkey, The court heard evidence in Korea,,14307,9733
318, school teacher incurrently detained in Samsun, school teacher incurrently detained in Moldova,,328,8947
319, The court heard evidence in Uherce Mineralne, The court heard evidence in Uherce Western Sahara,,570,4595
320, The court in London, The court in Israel,,4693,5143
321, The court in Manchester, The court in Austria,,17427,21753
322, into existence in Stockholm, into existence in Panama,,38476,37783
323," The court heard evidence in Human Rights Building, Strasbourg"," The court heard evidence in Human Rights Building, Guadeloupe",,32620,37841
324, The court heard evidence in London, The court heard evidence in China,,4693,4135
325, into existence in Stockholm, into existence in Chad,,38476,34884
326," school teacher incurrently detained in Human Rights Building, Strasbourg"," school teacher incurrently detained in Human Rights Building, British Virgin Islands",,32620,18708
327, in the area of Västra Frölunda in the South-West of Sweden, in the area of Västra Frölunda in the South-West of Qatar,,16842,38372
328, lawyers practising in London, lawyers practising in Jordan,,4693,13268
329," The court in Human Rights Building, Strasbourg"," The court in Human Rights Building, Cameroon",,32620,251
330, The court in Sundborn, The court in Tunisia,,6448,30160
331, into existence in Newcastle-upon-Tyne, into existence in Newcastle-upon-Gabon,,570,251
332, into existence in London, into existence in Mexico,,4693,8987
333, The court heard evidence in Sweden, The court heard evidence in Iceland,,16842,28651
334, lawyers practising in England, lawyers practising in Jordan,,5854,13268
335, lawyers practising in Oslo, lawyers practising in Kenya,,43516,27946
336, in the territory of Karlskrona, in the territory of Papua New Guinea,,66,34410
337, in the area of Mattighofen, in the area of Montenegro,,257,287
338, lawyers practising in Prague, lawyers practising in Finland,,41577,25270
339, The court heard evidence in Brazil, The court heard evidence in Canada,,10869,6144
340, into existence in Bregenz, into existence in Liechtenstein,,91,6339
341, The court in London, The court in France,,4693,6181
342, into existence in Ried, into existence in Saint Lucia,,728,47040
343, in the territory of Tristach, in the territory of Zambia,,607,571
344, The court in Sweden, The court in Zimbabwe,,16842,38581
345, in the area of Innsbruck, in the area of Swaziland,,32068,395
346, in the territory of Stockholm, in the territory of Niger,,38476,32345
347, school teacher incurrently detained in County of Kronoberg, school teacher incurrently detained in County of United States Virgin Islands,,72,18708
348, in the area of London, in the area of Israel,,4693,5143
349, The court in Vienna, The court in Chile,,26229,22755
350, The court heard evidence in Kristianstad, The court heard evidence in Mauritius,,25134,3750
351, in the area of Gothenburg, in the area of Andorra,,6121,376
352," The court heard evidence in Birmingham, England"," The court heard evidence in Birmingham, China",,5854,4135
353, in the territory of Lebanon, in the territory of Venezuela,,28746,27608
354, in the area of Wembley, in the area of Saint Barthelemy,,90,2577
355, into existence in Mattighofen, into existence in New Caledonia,,257,9409
356, in the territory of Lochau, in the territory of Turkmenistan,,1952,7399
357, in the area of Vienna, in the area of Morocco,,26229,40983
358, The court in London, The court in France,,4693,6181
359, school teacher incurrently detained in Berlin, school teacher incurrently detained in Peru,,12911,31805
360, school teacher incurrently detained in Bucharest, school teacher incurrently detained in Norfolk Island,,4885,8451
361, school teacher incurrently detained in York, school teacher incurrently detained in Iran,,2816,7751
362, in the territory of London, in the territory of China,,4693,4135
363, The court in Linz, The court in Latvia,,91,13917
364, school teacher incurrently detained in London, school teacher incurrently detained in Iran,,4693,7751
365, in the territory of London, in the territory of Jordan,,4693,13268
366, The court heard evidence in Austria, The court heard evidence in Kenya,,21753,27946
367, The court in Hamburg, The court in Indonesia,,38343,23340
368, The court in Vienna, The court in Chad,,26229,34884
369, in the area of New York, in the area of New France,,2816,6181
370, school teacher incurrently detained in Woking, school teacher incurrently detained in Reunion,,6856,20172
371, The court in Rockwood Base, The court in Rockwood France,,11760,6181
372, The court heard evidence in London, The court heard evidence in Brazil,,4693,10869
373, into existence in Frastanz, into existence in Paraguay,,11670,333
374, school teacher incurrently detained in Birmingham, school teacher incurrently detained in Romania,,26846,34262
375, in the territory of London, in the territory of India,,4693,5427
376, The court heard evidence in United Kingdom, The court heard evidence in United Portugal,,11491,24084
377, The court in Lillestrøm, The court in Antigua and Barbuda,,78,14776
378, lawyers practising in Birmingham, lawyers practising in Denmark,,26846,22783
379," school teacher incurrently detained in Human Rights Building, Strasbourg"," school teacher incurrently detained in Human Rights Building, Tuvalu",,32620,86
380, The court heard evidence in Berlin, The court heard evidence in Korea,,12911,9733
381, school teacher incurrently detained in Århus, school teacher incurrently detained in Maldives,,316,1644
382, school teacher incurrently detained in Graz, school teacher incurrently detained in Togo,,5744,24912
383, The court in Norway, The court in Thailand,,20341,23174
384, lawyers practising in Vienna, lawyers practising in Peru,,26229,31805
385, school teacher incurrently detained in Switzerland, school teacher incurrently detained in Georgia,,18908,12096
386, lawyers practising in London, lawyers practising in Israel,,4693,5143
387, lawyers practising in London, lawyers practising in Germany,,4693,6176
388, The court heard evidence in Krems, The court heard evidence in Dominica,,983,3737
389, school teacher incurrently detained in Brussels, school teacher incurrently detained in Congo,,30167,37642
