,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
114," and lives in Kraków, Poland.  On"," and lives in Kraków, Guam.  On",,12873,39282
115, and lives in Katowice.  A. First, and lives in British Virgin Islands.  A. First,,501,12010
116," He lives in Stalowa Wola, Poland"," He lives in Stalowa Togo, Poland",,5708,24076
117, guard at a bus terminus in, guard at a bus Aruba in,,385,22013
118, lawyer practising in Istanbul. The Turkish, lawyer practising in Mali. The Turkish,,25299,29599
119, and lives in Wrocław.  The facts, and lives in United States of America.  The facts,,707,2253
120, and lives in Şanlıurfa.  The facts, and lives in Saint Pierre and Miquelon.  The facts,,13331,261
121, and lived in Staszów. The second, and lived in Wallis and Futuna. The second,,86,9613
122," the second applicant), Istanbul (the third"," the second applicant), Chad (the third",,25299,19800
123," and lives in Ferney-Voltaire, France"," and lives in Ferney-Voltaire, India",,4881,3794
124, and lives in Kłomnice.  The applicant, and lives in United States Virgin Islands.  The applicant,,44460,12010
125, been living in Germany with her, been living in Iran with her,,4486,4068
126, and live in İzmir.  The facts, and live in United States of America.  The facts,,10793,2253
127, lawyers practising in Istanbul. The Turkish, lawyers practising in Cyprus. The Turkish,,25299,27885
128, lawyer practising in Warsaw. The Polish, lawyer practising in Hungary. The Polish,,32955,19562
129," the hospital in Edirne where, after"," the hospital in Suriname where, after",,710,480
130, lawyer practising in Ankara. The Turkish, lawyer practising in Indonesia. The Turkish,,28760,16256
131," Comments”), published in Istanbul.  B. The"," Comments”), published in Congo.  B. The",,25299,25935
132, lawyer practising in Diyarbakır. The Turkish, lawyer practising in Antigua and Barbuda. The Turkish,,81,15339
133, lawyer practising in Warsaw. The Polish, lawyer practising in Bahrain. The Polish,,32955,29066
134," lawyer practising in Warsaw, Poland. The"," lawyer practising in Warsaw, Senegal. The",,12873,49657
135, lawyer practising in Ankara (Turkey). The, lawyer practising in Ankara Costa Rica. The,,8,31656
136, and lives in Istanbul.  The applicant, and lives in Cyprus.  The applicant,,25299,27885
137, was arrested in Germany.  On 19, was arrested in Turkey.  On 19,,4486,7137
138," lawyer practising in Diyarbakır, Turkey. The"," lawyer practising in Diyarbakır, Egypt. The",,7137,6365
139, and lives in Praszka.  On 28, and lives in Seychelles.  On 28,,4914,274
140," and lives in Köln, Germany.  On"," and lives in Köln, Japan.  On",,4486,2869
141, and lives in Warsaw.  On 2, and lives in Greenland.  On 2,,32955,30155
142, lawyer practising in Żary.  The Polish, lawyer practising in Andorra.  The Polish,,560,430
143," lawyer working for Liberty, London. The"," lawyer working for Liberty, Brazil. The",,3576,7595
144," 2001, in the Remand Centre itself"," 2001, in the Remand Ecuador itself",,9072,25794
145," and lives in Chrzanów, Poland. He"," and lives in Chrzanów, Denmark. He",,12873,16490
146, Parliamentary Elections in Poland.  On 6, Parliamentary Elections in Qatar.  On 6,,12873,18286
147, lawyer practising in Warsaw. The Polish, lawyer practising in Bahamas. The Polish,,32955,45726
148," been living in Germany, there was"," been living in Turkey, there was",,4486,7137
149, and lives in Łódź.  On 21, and lives in United States Minor Outlying Islands.  On 21,,118,12010
150, presently detained in Wołów Detention Centre, presently detained in Wołów Detention Madagascar,,9072,46694
151, and lives in Gdańsk.  A. Criminal, and lives in Timor-Leste.  A. Criminal,,8135,29872
152, and lives in Wrocław.  On 19, and lives in United States Virgin Islands.  On 19,,707,12010
153, lawyer practising in Sopot.  The Polish, lawyer practising in San Marino.  The Polish,,313,46043
154, lawyer practising in Katowice. The Polish, lawyer practising in Nauru. The Polish,,501,84
155," the liberation of Poland, some of"," the liberation of Samoa, some of",,12873,43663
156, lawyer practising in London. The Government, lawyer practising in Pakistan. The Government,,3576,7648
157, lawyer practising in Gdansk. The Polish, lawyer practising in French Guiana. The Polish,,34738,7484
158, lawyer practising in Stockholm. The Swedish, lawyer practising in Chile. The Swedish,,29679,17456
159," and lives in Płock, Poland.  On"," and lives in Płock, Sweden.  On",,12873,10710
160," and lives in Białystok, Poland.  In"," and lives in Białystok, Bahrain.  In",,12873,29066
161, and lives in Wydminy.  A. The, and lives in Guadeloupe.  A. The,,88,431
162," and lives in Częstochowa, Poland.  On"," and lives in Częstochowa, Oman.  On",,12873,41782
163," and Commonwealth Office, London.  Insofar as"," and Commonwealth Office, Jordan.  Insofar as",,3576,8078
164, her address in Poland.  On 19, her address in Senegal.  On 19,,12873,49657
165, and lives in Namysłów.  The facts, and lives in Brunei Darussalam.  The facts,,86,44949
166, and lives in Sosnowiec.  On 12, and lives in Wallis and Futuna.  On 12,,66,9613
167, in hiding in Spain). It further, in hiding in Japan). It further,,8602,2869
168, lawyer practising in Opole. The Polish, lawyer practising in Palau. The Polish,,2305,559
169," and lives in Wieluń, Poland.  On"," and lives in Wieluń, Fiji.  On",,12873,43676
170, post office in Ostróda that read, post office in Guadeloupe that read,,6814,431
171, and lives in Warsaw.  On 18, and lives in Belarus.  On 18,,32955,33368
172, lawyer practising in Gdańsk.  The Polish, lawyer practising in Timor-Leste.  The Polish,,8135,29872
173, and lives in Szczecin.  On 26, and lives in Djibouti.  On 26,,259,72
174, lawyer practising in Warsaw. The Polish, lawyer practising in Hungary. The Polish,,32955,19562
175, and lives in Gdynia. He is, and lives in New Caledonia. He is,,544,11339
176," union and the Świętokrzyski Region, which"," union and the Świętokrzyski Egypt, which",,17718,6365
177, and lives in Warsaw.  A. Civil, and lives in Congo.  A. Civil,,32955,25935
178, and lives in Sulejówek.  A. Civil, and lives in Lao People's Democratic Republic.  A. Civil,,74,2066
179," and lives in Michałowice, Poland.  In"," and lives in Michałowice, Chad.  In",,12873,19800
180, and lives in Gdańsk.  On 16, and lives in Saint Barthelemy.  On 16,,8135,1820
181," and lives in Sopot, Poland  A"," and lives in Sopot, Samoa  A",,12873,43663
182, and lives in Warsaw.  On 13, and lives in Qatar.  On 13,,32955,18286
183, organisation based in London. The United, organisation based in France. The United,,3576,4881
184, and lives in Krasnystaw.  On 28, and lives in Saint Barthelemy.  On 28,,707,1820
185," and Commonwealth Office, London. Mr Richard"," and Commonwealth Office, Germany. Mr Richard",,3576,4486
186," and lives in Sosnowiec, Poland.  On"," and lives in Sosnowiec, Kuwait.  On",,12873,27028
187, and lives in Toruń. He is, and lives in Liechtenstein. He is,,226,5714
188," and lives in Wrocław, Poland.  On"," and lives in Wrocław, Finland.  On",,12873,17837
189," solicitor practising in Lisburn, Northern Ireland"," solicitor practising in Lisburn, Northern Italy",,7517,8031
190," and lives in Siemianowice Śląskie, Poland"," and lives in Siemianowice Śląskie, Guam",,12873,39282
191, and lives in Koszalin.  On 11, and lives in Mozambique.  On 11,,14414,2350
192, and lives in Brwinów.  A. Proceedings, and lives in Guadeloupe.  A. Proceedings,,86,431
193," applicant lives in Warsaw, Poland.  I"," applicant lives in Warsaw, Zimbabwe.  I",,12873,28589
194, lawyer practising in Warsaw. The Polish, lawyer practising in Panama. The Polish,,32955,23519
195," lawyer practising in Poznań, Poland. The"," lawyer practising in Poznań, Cuba. The",,12873,14159
196," and lives in Opole, Poland.  A"," and lives in Opole, Madagascar.  A",,12873,46694
197," and lives in Bytom, Poland.  A"," and lives in Bytom, Yemen.  A",,12873,12492
198, lawyer practising in Warsaw. The Polish, lawyer practising in Madagascar. The Polish,,32955,46694
199, and lives in Lublin.  On 6, and lives in Barbados.  On 6,,2815,22484
200, and lives in Warszawa.  A. Main, and lives in Guernsey.  A. Main,,6909,4397
201, Broadcasting Corporation in Scotland (BBC Scotland, Broadcasting Corporation in Ireland (BBC Ireland,,8838,7517
202," and lives in Bielawa, Poland.  A"," and lives in Bielawa, Jersey.  A",,12873,8221
203," and lives in Lubań, Poland.  The"," and lives in Lubań, Cuba.  The",,12873,14159
204, and lives in Elblag.  In 2009, and lives in United Arab Emirates.  In 2009,,363,24880
205," and lives in Toruń, Poland.  On"," and lives in Toruń, Peru.  On",,12873,25768
206," and lives in Zakopane, Poland.  The"," and lives in Zakopane, Greenland.  The",,12873,30155
207, and lives in Poznań.  On 12, and lives in Saint Barthelemy.  On 12,,226,1820
208, solicitor practising in London. The British, solicitor practising in Jordan. The British,,3576,8078
209," and lives in Gdańsk, Poland.  On"," and lives in Gdańsk, Korea.  On",,12873,4969
210, and lives in Strzelce Opolskie.  On, and lives in Strzelce Seychelles.  On,,494,274
211," and lives in Dąbrowa Górnicza, Poland"," and lives in Dąbrowa Górnicza, Guinea",,12873,22777
212, detained in the Tarnowskie Góry Prison, detained in the Tarnowskie Góry Ghana,,16999,32825
213, and lives in Tarnowska Wola.  On, and lives in Tarnowska Macao.  On,,5708,5488
214, detained in the Koszalin Detention Centre, detained in the Koszalin Detention Samoa,,9072,43663
215, and lives in Warszawa.  On 19, and lives in Swaziland.  On 19,,6909,40855
216, lawyer practising in Wrocław. The Polish, lawyer practising in Guadeloupe. The Polish,,707,431
217," and lives in Brwinów, Poland.  A"," and lives in Brwinów, Kuwait.  A",,12873,27028
218, and lives in East Sussex.  On, and lives in East Senegal.  On,,41588,49657
219, and lives in Łódź. He is, and lives in United States Minor Outlying Islands. He is,,118,12010
220," lawyer practising in Białystok, Poland. The"," lawyer practising in Białystok, Korea. The",,12873,4969
221," and lived in Przemyśl, Poland.  1"," and lived in Przemyśl, Hungary.  1",,12873,19562
222, lawyer practising in Łódź. The Polish, lawyer practising in Saint Kitts and Nevis. The Polish,,118,271
223, was born in Saigon in 1963, was born in Hong Kong in 1963,,37107,9071
224, lawyer practising in Paris. The French, lawyer practising in Turkey. The French,,6342,7137
225, and live in Paris.  The first, and live in China.  The first,,6342,2807
226, and marriages for Neuilly-sur-Seine, and marriages for Neuilly-sur-Singapore,,500,12551
227, lawyer practising in Van. The Turkish, lawyer practising in Egypt. The Turkish,,6656,6365
228," national residing at Lummen (Belgium), is"," national residing at Lummen Burkina Faso, is",,8,78
229, and lives in Ossès.  On 17, and lives in Cape Verde.  On 17,,82,2934
230, all land in Warsaw was nationalised, all land in Senegal was nationalised,,32955,49657
231, lawyer practising in Aydın. The Turkish, lawyer practising in Guadeloupe. The Turkish,,77,431
232," and lives in Biała Podlaska, Poland"," and lives in Biała Podlaska, Ecuador",,12873,25794
233," and lives in Miłkowice, Poland.  1"," and lives in Miłkowice, Serbia.  1",,12873,27229
234, and lives in Białystok.  A. Facts, and lives in United States Minor Outlying Islands.  A. Facts,,482,12010
235, lawyers practising in Warsaw and Poznań, lawyers practising in Guam and Poznań,,32955,39282
236," and lives in Pruszków, Poland.  On"," and lives in Pruszków, Austria.  On",,12873,17322
237," and lives in Kamień Pomorski, Poland"," and lives in Kamień Pomorski, Sweden",,12873,10710
238, lawyers practising in Istanbul. The Turkish, lawyers practising in Ghana. The Turkish,,25299,32825
239, and lives in Słupsk.  On 5, and lives in Northern Mariana Islands.  On 5,,74,12010
240, lawyer practising in Katowice. The Polish, lawyer practising in Burundi. The Polish,,501,72
241, practising in Antalya (Turkey). The Turkish, practising in Antalya (Iraq). The Turkish,,7137,3908
242," and lives in Koszwały, Poland.  A"," and lives in Koszwały, Serbia.  A",,12873,27229
243," and lives in Warsaw, Poland.  A"," and lives in Warsaw, Congo.  A",,12873,25935
244, and lives in Elazığ.  On 20, and lives in Seychelles.  On 20,,33133,274
245, December 2001 the Buca District Governor, December 2001 the Buca Ukraine Governor,,5665,7049
246, lawyer practising in Antwerp. The Turkish, lawyer practising in Nauru. The Turkish,,79,84
247, and live in Istanbul.  In 1995, and live in Peru.  In 1995,,25299,25768
248, and live in Şanlıurfa.  On 22, and live in Saint Pierre and Miquelon.  On 22,,13331,261
249, lawyer practising in Ankara. The Turkish, lawyer practising in Malaysia. The Turkish,,28760,15336
250, lawyer practising in İzmir. The Turkish, lawyer practising in United States Virgin Islands. The Turkish,,10793,12010
251, lawyers practising in Istanbul. The Turkish, lawyers practising in Monaco. The Turkish,,25299,31630
252, prison sentence in Diyarbakır prison at, prison sentence in Lao People's Democratic Republic prison at,,81,2066
253, and lived in Gdynia in Poland, and lived in Northern Mariana Islands in Poland,,544,12010
254, lawyer practising in Nicosia. The Turkish, lawyer practising in United Arab Emirates. The Turkish,,544,24880
255, lawyer practising in Ankara (Turkey). The, lawyer practising in Vietnam (Turkey). The,,28760,10836
256, lawyer practising in Istanbul. The Turkish, lawyer practising in Singapore. The Turkish,,25299,12551
257, December 2004 the Istanbul public prosecutor, December 2004 the Austria public prosecutor,,25299,17322
258," and live in Wrocław, Poland.  1"," and live in Wrocław, Niger.  1",,12873,23731
259, and lives in Ankara.  On 23, and lives in Belgium.  On 23,,28760,15664
260," and lives in Łódź, Poland.  A"," and lives in Łódź, Jersey.  A",,12873,8221
261," and lives in Zamość, Poland.  The"," and lives in Zamość, Peru.  The",,12873,25768
262, applicant lives in Józefów and her, applicant lives in Saint Kitts and Nevis and her,,86,271
263, the liberation of Jerusalem. The applicants, the liberation of Korea. The applicants,,10843,4969
264, the area of Ayios Memnon (Esperidon, the area of Ayios North Macedonia (Esperidon,,13159,36353
265, lawyer practising in Ankara. The Turkish, lawyer practising in Greece. The Turkish,,28760,10315
266, lawyer practising in Gdańsk. By a, lawyer practising in Wallis and Futuna. By a,,8135,9613
267, lawyer practising in Ankara.  On 26, lawyer practising in Venezuela.  On 26,,28760,16666
268, and lives in Ankara.  On 19, and lives in Bermuda.  On 19,,28760,41410
269, his residence to Kyrenia. During the, his residence to French Guiana. During the,,544,7484
270, and lives in Warsaw.  On 18, and lives in Chad.  On 18,,32955,19800
271, and lives in Warsaw.  A. Main, and lives in Greenland.  A. Main,,32955,30155
272," of Kyrenia (northern Cyprus), where the"," of Kyrenia (northern Oman), where the",,27885,41782
273, lawyer practising in Istanbul. The Turkish, lawyer practising in Guinea. The Turkish,,25299,22777
274, security forces in Bingöl. On 28, security forces in Turkmenistan. On 28,,75,4103
275, and lives in Şırnak.  The facts, and lives in Saint Barthelemy.  The facts,,461,1820
276," time, lived in Germany.  The first"," time, lived in Turkey.  The first",,4486,7137
277," and lives in Łódź, Poland.  On"," and lives in Łódź, Greenland.  On",,12873,30155
278, lawyer practising in Ankara (Turkey). The, lawyer practising in Nepal (Turkey). The,,28760,27026
279, lawyer practising in Trabzon. The Turkish, lawyer practising in Andorra. The Turkish,,26361,430
280, lawyer practising in Ankara. The Turkish, lawyer practising in Uruguay. The Turkish,,28760,36421
281, and lives in Bystra Podhalańska.  In, and lives in Bystra Saint Pierre and Miquelon.  In,,4914,261
282, lawyer practising in Istanbul. The Turkish, lawyer practising in Greenland. The Turkish,,25299,30155
283, in detention in Lublin.  A. Criminal, in detention in Gambia.  A. Criminal,,2815,544
284," of residence Wrocław, Drucki –Lubecki street"," of residence Wrocław, Drucki –Lubecki Iran",,4675,4068
285, lawyer practising in Ankara (Turkey). The, lawyer practising in Bulgaria (Turkey). The,,28760,27902
286, who live in Diyarbakır.  In May, who live in Lao People's Democratic Republic.  In May,,81,2066
287," and lives in Budapest, Hungary.  The"," and lives in Budapest, Belarus.  The",,19562,33368
288," and lives in Olsztyn, Poland.  The"," and lives in Olsztyn, Jersey.  The",,12873,8221
289," and lives in New York, USA"," and lives in New York, Iraq",,4916,3908
290, lawyers practising in Istanbul. The Turkish, lawyers practising in Monaco. The Turkish,,25299,31630
291, and lives in Warszawa.  He is, and lives in British Virgin Islands.  He is,,6909,12010
292, and lives in Suwałki.  A. Main, and lives in New Caledonia.  A. Main,,4106,11339
293, lawyer practising in Istanbul. The Turkish, lawyer practising in Portugal. The Turkish,,25299,19101
294, and live in Glinica.  A. Civil, and live in French Polynesia.  A. Civil,,3970,31401
295, lawyers practising in Istanbul. The Turkish, lawyers practising in Guam. The Turkish,,25299,39282
296, living in the Netherlands at the, living in the Croatia at the,,12671,28975
297, lawyer practising in London. The United, lawyer practising in Canada. The United,,3576,3340
298, lawyer practising in Manchester. The United, lawyer practising in Georgia. The United,,9502,7859
299, Appeal (kammarrätten) in Stockholm refused him, Appeal (kammarrätten) in Serbia refused him,,29679,27229
300, the centre of Rönninge in the, the centre of Northern Mariana Islands in the,,68,12010
301, barrister practising in London. The United, barrister practising in Iran. The United,,3576,4068
302," primary school in Highgate, London, but"," primary school in Highgate, Canada, but",,3576,3340
303, of residence at Furuby. Because [the, of residence at Cape Verde. Because [the,,88,2934
304, organisation based in London. The United, organisation based in Georgia. The United,,3576,7859
305," is resident in Dorking, Surrey. In"," is resident in Dorking, Korea. In",,38805,4969
306, Authority (Kronofogdemyndigheten) in Falun issued a, Authority (Kronofogdemyndigheten) in Tonga issued a,,403,64
307, lawyer practising in Newcastle-upon-Tyne, lawyer practising in Newcastle-upon-Saint Helena,,710,42916
308, lawyer practising in London with Saunders, lawyer practising in Australia with Saunders,,3576,4505
309, at Täby in Sweden. At the, at Täby in Samoa. At the,,10710,43663
310, lawyer practising in Newcastle upon Tyne, lawyer practising in Latvia upon Tyne,,22410,35794
311, first applicant to Nigeria with a, first applicant to Rwanda with a,,19398,38507
312," from Sweden to Syria, the first"," from Sweden to Ireland, the first",,4392,7517
313," the direction of Linz, was stopped"," the direction of Guyana, was stopped",,89,2271
314, firm practising in Vienna. The Austrian, firm practising in Madagascar. The Austrian,,23825,46694
315," lawyer practising in Ruislip, Middlesex. The"," lawyer practising in Ruislip, Norfolk Island. The",,1069,5451
316, and lives in Hard.  The applicant, and lives in France.  The applicant,,6912,4881
317," in Belfast and London, respectively. The"," in Belfast and Italy, respectively. The",,3576,8031
318, lawyer practising in Ried (Austria).  The, lawyer practising in Palau (Austria).  The,,798,559
319, the south of Sweden. The museum, the south of Korea. The museum,,10710,4969
320, lawyers practising in Stockholm. The Swedish, lawyers practising in Peru. The Swedish,,29679,25768
321, State redeem the Risböke 1:3, State redeem the Risböke Micronesia,,18,544
322, lawyer practising in Liverpool. The United, lawyer practising in Italy. The United,,11761,8031
323, and lives in Traiskirchen.  On 7, and lives in United States Virgin Islands.  On 7,,831,12010
324, and lives in Kristianstad.  In 1999, and lives in Andorra.  In 1999,,24107,430
325, been living at Västra Frölunda in, been living at Västra New Caledonia in,,64,11339
326," solicitor practising in Birmingham, England. The"," solicitor practising in Birmingham, Turkey. The",,4492,7137
327, currently living in Lebanon.  On 1, currently living in Malta.  On 1,,16849,35206
328," Co., solicitors in Wembley. The United"," Co., solicitors in Bermuda. The United",,49611,41410
