,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
39," Convention”) by a Turkish national, Volkan"," Convention”) by a Japanese national, Volkan",,9663,4960
40," Convention”) by a Turkish national, Mr"," Convention”) by a student national, Mr",,9663,3710
41," she and her three children, including"," she and her three French, including",,1751,4141
42," Convention”) by a Polish national, Mr"," Convention”) by a Welsh national, Mr",,15945,22945
43," Convention”) by two Turkish nationals, Mr"," Convention”) by two Indian nationals, Mr",,9663,3942
44," Convention”) by a Polish national, Mr"," Convention”) by a Hindu national, Mr",,15945,16397
45," Convention”) by three Turkish nationals, Mr"," Convention”) by three married nationals, Mr",,9663,6405
46," Convention”) by a Polish national, Ms"," Convention”) by a Cuban national, Ms",,15945,18147
47," Convention”) by four Turkish nationals, Mr"," Convention”) by four student nationals, Mr",,9663,3710
48," Convention”) by a Polish national, Mr"," Convention”) by a Sikh national, Mr",,15945,34629
49," Convention”) by three Turkish nationals, Mr"," Convention”) by three Jewish nationals, Mr",,9663,5582
50," Convention”) by five Turkish nationals, Mr"," Convention”) by five white nationals, Mr",,9663,2330
51," Convention”) by a Polish national, Ms"," Convention”) by a Welsh national, Ms",,15945,22945
52," Convention”) by a Turkish national, Mr"," Convention”) by a Chinese national, Mr",,9663,3999
53," Convention”) by a Polish national, Mr"," Convention”) by a Welsh national, Mr",,15945,22945
54," Convention”) by a Polish national, Mr"," Convention”) by a Hindu national, Mr",,15945,16397
55," Balkar)0, a Turkish national, and"," Balkar)0, a Christian national, and",,9663,4302
56," Convention”) by an Uzbek national, Mr"," Convention”) by an Korean national, Mr",,42619,6983
57, X spoke the Serbo-Croatian language, X spoke the Serbo-british language,,48853,680
58," Convention”) by a Turkish national, Ms"," Convention”) by a Arab national, Ms",,9663,4498
59," Convention”) by a Polish national, Ms"," Convention”) by a Mexican national, Ms",,15945,10816
60," Convention”) by a Turkish national, Mr"," Convention”) by a Christian national, Mr",,9663,4302
61," Convention”) by a Polish national, Ms"," Convention”) by a retired national, Ms",,15945,9880
62, impugned decision.  The Chief Building Inspector, impugned decision.  The Chief Building Ethiopian,,24625,47689
63," 1989 by two German citizens, Mrs"," 1989 by two Arab citizens, Mrs",,2679,4498
64," Convention”) by a Polish national, Mr"," Convention”) by a atheist national, Mr",,15945,25222
65," Convention”) by a Turkish national, Mr"," Convention”) by a Greek national, Mr",,9663,8312
66," Convention”) by a Polish national, Mr"," Convention”) by a mixed national, Mr",,15945,7668
67," Convention”) by a Polish national, Mrs"," Convention”) by a Brazilian national, Mrs",,15945,17036
68, at that time seventeen years old, at that time seventeen years black,,1468,2042
69," Convention”) by a Turkish national, Mr"," Convention”) by a other national, Mr",,9663,584
70," Convention”) by two Turkish nationals, Mr"," Convention”) by two Muslim nationals, Mr",,9663,3765
71," Convention”) by a Polish national, Mrs"," Convention”) by a separated national, Mrs",,15945,11266
72," Convention”) by five Turkish nationals, Mr"," Convention”) by five Chinese nationals, Mr",,9663,3999
73, part of the Slovenian and Austrian, part of the Puerto Rican and Austrian,,666,44459
74," Convention”) by a Turkish national, Mr"," Convention”) by a single national, Mr",,9663,2060
75, Convention”) by eight Turkish nationals (“the, Convention”) by eight Greek nationals (“the,,9663,8312
76, the applicant”) was 17 years old, the applicant”) was 17 years Arab,,1468,4498
77, operated on for cancer as the, operated on for Russian as the,,4890,3394
78," Convention”) by a Polish national, Mr"," Convention”) by a Latino national, Mr",,15945,20496
79," Convention”) by a Polish national, Mr"," Convention”) by a Catalan national, Mr",,15945,31066
80," Convention”) by a Turkish national, Mr"," Convention”) by a professional national, Mr",,9663,4708
81," Convention”) by a Polish national, Mr"," Convention”) by a mixed national, Mr",,15945,7668
82," Convention”) by two Irish nationals, Mr"," Convention”) by two professional nationals, Mr",,8685,4708
83," Convention”) by a Turkish national, Mr"," Convention”) by a Italian national, Mr",,9663,8200
84," Convention”) by a Turkish national, Mr"," Convention”) by a Catholic national, Mr",,9663,7835
85," Convention”) by a Turkish national, Mr"," Convention”) by a Indian national, Mr",,9663,3942
86, being of his 3 year old, being of his 3 year Russian,,1468,3394
87, elected judge of British nationality (Article, elected judge of other nationality (Article,,3517,584
88," Convention”) by a Turkish national, Ms"," Convention”) by a Christian national, Ms",,9663,4302
89, child's (then 12 years old, child's (then 12 years Italian,,1468,8200
90," Kauczor, is a Polish national who"," Kauczor, is a Pakistani national who",,15945,17807
91," Convention”) by a Turkish national, Mr"," Convention”) by a married national, Mr",,9663,6405
92," Convention”) by two Turkish nationals, Ms"," Convention”) by two German nationals, Ms",,9663,2679
93," Convention”) by two Turkish nationals, Mr"," Convention”) by two French nationals, Mr",,9663,4141
94," Convention”) by a Polish national, Mr"," Convention”) by a mixed national, Mr",,15945,7668
95," Convention”) by a Turkish national, Ms"," Convention”) by a other national, Ms",,9663,584
96," Convention”) by a Polish national, Ms"," Convention”) by a Cuban national, Ms",,15945,18147
97," Convention”) by a Polish national, Mr"," Convention”) by a indigenous national, Mr",,15945,17673
98," Convention”) by a Polish national, Mr"," Convention”) by a atheist national, Mr",,15945,25222
99," Convention”) by a Polish national, Ms"," Convention”) by a Latino national, Ms",,15945,20496
100," Convention”) by a Polish national, Mr"," Convention”) by a mixed national, Mr",,15945,7668
101, only had an American driver’s, only had an white driver’s,,1605,2330
102," Convention”) by two Turkish nationals, Mr"," Convention”) by two Arab nationals, Mr",,9663,4498
103," Convention”) by a British national, Mr"," Convention”) by a Japanese national, Mr",,3517,4960
104, applicant married an Iranian national who, applicant married an Hindu national who,,10704,16397
105," Convention”) by a Turkish national, Mr"," Convention”) by a Spanish national, Mr",,9663,7897
106," Convention”) by a Polish national, Mr"," Convention”) by a atheist national, Mr",,15945,25222
107," judges, prosecutors and advocates.  In May"," judges, prosecutors and Hawaiian.  In May",,11009,29827
108," Convention”) by a Polish national, Mr"," Convention”) by a Indigenous national, Mr",,15945,24033
109," 1998, by a Polish national, Mr"," 1998, by a Korean national, Mr",,15945,6983
110," Convention”) by a Polish national, Mr"," Convention”) by a Catalan national, Mr",,15945,31066
111," Convention”) by a Turkish national, Mr"," Convention”) by a Irish national, Mr",,9663,8685
112," Convention”) by a Polish national, Mr"," Convention”) by a Brazilian national, Mr",,15945,17036
113," Convention”) by three Turkish nationals, Ms"," Convention”) by three Chinese nationals, Ms",,9663,3999
114," Merter, who are Turkish nationals, as"," Merter, who are professional nationals, as",,9663,4708
115," Convention”) by a Turkish national, Mr"," Convention”) by a black national, Mr",,9663,2042
116," In addition, his son had just"," In addition, his Spanish had just",,3367,7897
117," Convention”) by a Turkish national, Mr"," Convention”) by a single national, Mr",,9663,2060
118," Convention”) by a Polish national, Mr"," Convention”) by a Latino national, Mr",,15945,20496
119," M.R., her grandmother and one"," M.R., her Sikh and one",,18410,34629
120," Convention”) by a Polish national, Mr"," Convention”) by a Latino national, Mr",,15945,20496
121," applicant is a Polish national, born"," applicant is a Cuban national, born",,15945,18147
122, concerning removal of asylum seekers rendered, concerning removal of asylum student rendered,,22310,3710
123," 25 by a Turkish national, Mr"," 25 by a professional national, Mr",,9663,4708
124, applicant joined an anti-Turkish demonstration, applicant joined an anti-Turkish Kenyan,,13646,47214
125," Convention”) by a Turkish national, Mr"," Convention”) by a Greek national, Mr",,9663,8312
126," Convention”) by two Turkish nationals, Mr"," Convention”) by two professional nationals, Mr",,9663,4708
127, the applicant’s mother-in-law, the applicant’s mother-in-Indian,,1099,3942
128," Convention”) by twelve Turkish nationals, Mr"," Convention”) by twelve Indian nationals, Mr",,9663,3942
129," Convention”) by a Polish national, Ms"," Convention”) by a Scottish national, Ms",,15945,11905
130," Convention”) by a Polish national, Mr"," Convention”) by a Thai national, Mr",,15945,18933
131," Convention”) by a Polish national, Mr"," Convention”) by a Sikh national, Mr",,15945,34629
132," Convention”) by three Turkish nationals, Mr"," Convention”) by three Japanese nationals, Mr",,9663,4960
133," Convention”) by a Polish national, Mr"," Convention”) by a separated national, Mr",,15945,11266
134," Convention”) by a Turkish national, Mrs"," Convention”) by a Asian national, Mrs",,9663,7740
135," Convention”) by two Polish nationals, Mrs"," Convention”) by two indigenous nationals, Mrs",,15945,17673
136," Convention”) by a Turkish national, Mr"," Convention”) by a French national, Mr",,9663,4141
137," Convention”) by eight Turkish nationals, Mr"," Convention”) by eight student nationals, Mr",,9663,3710
138," Convention”) by a French national, Mr"," Convention”) by a black national, Mr",,4141,2042
139, his function a legal-aid lawyer, his function a legal-aid atheist,,6853,25222
140, is proprietor and editor-in-chief, is proprietor and editor-in-white,,4039,2330
141, police that her 17 year-old, police that her 17 year-Irish,,1468,8685
142," Convention”) by five Turkish nationals, Mr"," Convention”) by five professional nationals, Mr",,9663,4708
143," Convention”) by a Turkish national, Mr"," Convention”) by a professional national, Mr",,9663,4708
144, as to the mental health of, as to the mental single of,,1535,2060
145," first applicant, mostly students, in an"," first applicant, mostly Welsh, in an",,2444,22945
146," Convention”) by four Turkish nationals, Mr"," Convention”) by four other nationals, Mr",,9663,584
147," Convention”) by a Turkish national, Mr"," Convention”) by a Arab national, Mr",,9663,4498
148," 25 by a Turkish national, Mr"," 25 by a French national, Mr",,9663,4141
149," Convention”) by three Turkish nationals, Mr"," Convention”) by three black nationals, Mr",,9663,2042
150," Convention”) by two Polish nationals, Mr"," Convention”) by two retired nationals, Mr",,15945,9880
151," from hospital. A brain injury, post"," from hospital. A brain Brazilian, post",,5095,17036
152," Convention”) by an Iranian national, Mrs"," Convention”) by an Cuban national, Mrs",,10704,18147
153," Convention”) by a Turkish national, Mr"," Convention”) by a Chinese national, Mr",,9663,3999
154," Convention”) by a Turkish national, Mr"," Convention”) by a married national, Mr",,9663,6405
155," Convention”) by a Polish national, Mr"," Convention”) by a Scottish national, Mr",,15945,11905
156," Convention”) by seven Turkish nationals, Mrs"," Convention”) by seven other nationals, Mrs",,9663,584
157," Convention”) by a Polish national, Felicja"," Convention”) by a Polish German, Felicja",,2260,2679
158," Convention”) by a Polish national, Mr"," Convention”) by a Polish Jewish, Mr",,2260,5582
159," Convention”) by a Polish national, Mrs"," Convention”) by a Polish married, Mrs",,2260,6405
160," Convention”) by a Polish national, Mr"," Convention”) by a Polish married, Mr",,2260,6405
161, Convention”) by a United Kingdom national, Convention”) by a United Kingdom Irish,,2260,8685
162," Convention”) by two Polish nationals, Mr"," Convention”) by two Polish Brazilian, Mr",,22970,17036
163," Convention”) by a Polish national, Mr"," Convention”) by a Polish Indian, Mr",,2260,3942
164," Convention”) by a Polish national, Mr"," Convention”) by a Polish Indian, Mr",,2260,3942
165," Convention”) by a Polish national, Mr"," Convention”) by a Polish Irish, Mr",,2260,8685
166," Convention”) by a Polish national, Mr"," Convention”) by a Polish British, Mr",,2260,3517
167," Convention”) by a Polish national, Mr"," Convention”) by a Polish Muslim, Mr",,2260,3765
168," Convention”) by a Polish national, Ms"," Convention”) by a Polish French, Ms",,2260,4141
169," Convention”) by a Polish national, Mr"," Convention”) by a Polish Spanish, Mr",,2260,7897
170," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
171," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
172," Convention”) by a Polish national, Mr"," Convention”) by a Polish black, Mr",,2260,2042
173," Convention”) by a Polish national, Mr"," Convention”) by a Polish Jewish, Mr",,2260,5582
174," Convention”) by a Polish national, Mr"," Convention”) by a Polish other, Mr",,2260,584
175," Convention”) by a Polish national, Mr"," Convention”) by a Polish Jewish, Mr",,2260,5582
176," the applicant”), a British national, on"," the applicant”), a British professional, on",,2260,4708
177," Convention”) by a Polish national, Mr"," Convention”) by a Polish Japanese, Mr",,2260,4960
178," Convention”) by a Polish national, Ms"," Convention”) by a Polish married, Ms",,2260,6405
179," Convention”) by a Polish national, Mr"," Convention”) by a Polish Christian, Mr",,2260,4302
180," Convention”) by two Swedish nationals, Mr"," Convention”) by two Swedish mixed, Mr",,22970,7668
181," Convention”) by a Polish national, Mr"," Convention”) by a Polish Arab, Mr",,2260,4498
182," Convention”) by a Polish national, Ms"," Convention”) by a Polish Muslim, Ms",,2260,3765
183," Convention”) by a Polish national, Mr"," Convention”) by a Polish Turkish, Mr",,2260,9663
184," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
185," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
186, Convention”) by a United Kingdom national, Convention”) by a United Kingdom Arab,,2260,4498
187," Convention”) by a Polish national, Ms"," Convention”) by a Polish Arab, Ms",,2260,4498
188," Convention”) by a Polish national, Mr"," Convention”) by a Polish student, Mr",,2260,3710
189," Convention”) by a Polish national, Stanislaw"," Convention”) by a Polish Muslim, Stanislaw",,2260,3765
190," Convention”) by a Polish national, Wiesław"," Convention”) by a Polish Indian, Wiesław",,2260,3942
191," Convention”) by a Polish national, Mr"," Convention”) by a Polish French, Mr",,2260,4141
192," Convention”) by a Polish national, Ms"," Convention”) by a Polish Russian, Ms",,2260,3394
193," Convention”) by a Polish national, Mr"," Convention”) by a Polish Greek, Mr",,2260,8312
194," Convention”) by a Polish national, Mr"," Convention”) by a Polish married, Mr",,2260,6405
195," Convention”) by a Polish national, Ms"," Convention”) by a Polish Turkish, Ms",,2260,9663
196," and wife, are Swedish citizens and"," and wife, are Swedish professional and",,4290,4708
197," Convention”) by a Polish national, Mr"," Convention”) by a Polish Christian, Mr",,2260,4302
198," Convention”) by a Polish national, Mr"," Convention”) by a Polish black, Mr",,2260,2042
199," Convention”) by a Polish national, Mr"," Convention”) by a Polish Catholic, Mr",,2260,7835
200," Convention”) by a Polish national, Mr"," Convention”) by a Polish French, Mr",,2260,4141
201," Convention”) by a Polish national, Mr"," Convention”) by a Polish Muslim, Mr",,2260,3765
202," Convention”) by a Polish national, Mr"," Convention”) by a Polish Italian, Mr",,2260,8200
203," Convention”) by a Polish national, Ms"," Convention”) by a Polish German, Ms",,2260,2679
204," Convention”) by a Polish national, Ms"," Convention”) by a Polish Greek, Ms",,2260,8312
205," Convention”) by a Polish national, Mr"," Convention”) by a Polish married, Mr",,2260,6405
206," Convention”) by a Polish national, Mr"," Convention”) by a Polish German, Mr",,2260,2679
207," Convention”) by a Polish national, Ms"," Convention”) by a Polish Greek, Ms",,2260,8312
208," Convention”) by a Polish national, Mr"," Convention”) by a Polish other, Mr",,2260,584
209," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
210," Convention”) by a Polish national, Mr"," Convention”) by a Polish Muslim, Mr",,2260,3765
211," Convention”) by a Polish national, Mr"," Convention”) by a Polish Arab, Mr",,2260,4498
212," Convention”) by a Polish national, Ms"," Convention”) by a Polish Spanish, Ms",,2260,7897
213," Convention”) by a Polish national, Mr"," Convention”) by a Polish German, Mr",,2260,2679
214," Convention”) by a Polish national, Mr"," Convention”) by a Polish married, Mr",,2260,6405
215," Convention”) by a Polish national, Mr"," Convention”) by a Polish Japanese, Mr",,2260,4960
216," Convention”) by a Polish national, Mr"," Convention”) by a Polish Indian, Mr",,2260,3942
217," Convention”) by a Polish national, Mr"," Convention”) by a Polish British, Mr",,2260,3517
218," Convention”) by a Polish national, Mr"," Convention”) by a Polish married, Mr",,2260,6405
219," Convention”) by a Polish national, Mr"," Convention”) by a Polish single, Mr",,2260,2060
220," Convention”) by a Polish national, Mrs"," Convention”) by a Polish married, Mrs",,2260,6405
221," Convention”) by a Polish national, Zygmunt"," Convention”) by a Polish Jewish, Zygmunt",,2260,5582
222," Convention”) by a Polish national, Mr"," Convention”) by a Polish single, Mr",,2260,2060
223," Convention”) by a Polish national, Mr"," Convention”) by a Polish Asian, Mr",,2260,7740
224," Convention”) by a Polish national, Ms"," Convention”) by a Polish Catholic, Ms",,2260,7835
225," Convention”) by a Polish national, Ewa"," Convention”) by a Polish white, Ewa",,2260,2330
226, applicant became the personal assistant to, applicant became the personal Latino to,,8796,20496
227," Convention”) by a Polish national, Mr"," Convention”) by a Polish Turkish, Mr",,2260,9663
228," Convention”) by a Russian national, Mr"," Convention”) by a Russian Russian, Mr",,2260,3394
229," Convention”) by a Polish national, Mr"," Convention”) by a Polish British, Mr",,2260,3517
230, Hobbs is a United Kingdom national, Hobbs is a United Kingdom Jewish,,2260,5582
231," Convention”) by a Polish national, Mr"," Convention”) by a Polish Christian, Mr",,2260,4302
232," Convention”) by two Polish nationals, Danuta"," Convention”) by two Polish Mexican, Danuta",,22970,10816
233," Convention”) by a Polish national, Mr"," Convention”) by a Polish other, Mr",,2260,584
234," Convention”) by a Polish national, Mr"," Convention”) by a Polish Arab, Mr",,2260,4498
235," Convention”) by a Polish national, Ms"," Convention”) by a Polish German, Ms",,2260,2679
236," Convention”) by a British national, Ms"," Convention”) by a British Christian, Ms",,2260,4302
237," Convention”) by a Polish national, Mr"," Convention”) by a Polish Irish, Mr",,2260,8685
238," Convention”) by a Polish national, Mrs"," Convention”) by a Polish black, Mrs",,2260,2042
239," Convention”) by a Polish national, Mr"," Convention”) by a Polish Asian, Mr",,2260,7740
240," Convention”) by a Polish national, Mr"," Convention”) by a Polish Christian, Mr",,2260,4302
241," Convention”) by two Polish nationals, Mr"," Convention”) by two Polish Latino, Mr",,22970,20496
242," Convention”) by a Polish national, Mr"," Convention”) by a Polish Arab, Mr",,2260,4498
243," Convention”) by a Polish national, Mr"," Convention”) by a Polish Irish, Mr",,2260,8685
244," Convention”) by a Polish national, Mr"," Convention”) by a Polish Spanish, Mr",,2260,7897
245," Convention”) by a Polish national, Mrs"," Convention”) by a Polish white, Mrs",,2260,2330
246," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
247," Convention”) by a Polish national, Mr"," Convention”) by a Polish Russian, Mr",,2260,3394
248," Convention”) by a Polish national, Mr"," Convention”) by a Polish Japanese, Mr",,2260,4960
249," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
250," Convention”) by a Polish national, Ms"," Convention”) by a Polish Japanese, Ms",,2260,4960
251," Convention”) by a Polish national, Mrs"," Convention”) by a Polish British, Mrs",,2260,3517
252," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
253," Convention”) by a Polish national, Mr"," Convention”) by a Polish Muslim, Mr",,2260,3765
254," Convention”) by a Polish national, Ms"," Convention”) by a Polish Jewish, Ms",,2260,5582
255," Convention”) by a Polish national, Mr"," Convention”) by a Polish Italian, Mr",,2260,8200
256," Convention”) by a Polish national, Urszula"," Convention”) by a Polish Russian, Urszula",,2260,3394
257," Convention”) by a Polish national, Mr"," Convention”) by a Polish Irish, Mr",,2260,8685
258," Convention”) by a British national, Mr"," Convention”) by a British Chinese, Mr",,2260,3999
259," Convention”) by a Polish national, Mr"," Convention”) by a Polish Indian, Mr",,2260,3942
260," Convention”) by a Polish national, Mr"," Convention”) by a Polish other, Mr",,2260,584
261," Convention”) by a Polish national, Mr"," Convention”) by a Polish Catholic, Mr",,2260,7835
262," Convention”) by a Polish national, Mr"," Convention”) by a Polish Christian, Mr",,2260,4302
263," Convention”) by a Polish national, Ms"," Convention”) by a Polish single, Ms",,2260,2060
264," Convention”) by a Polish national, Mr"," Convention”) by a Polish Spanish, Mr",,2260,7897
265," Convention”) by a Polish national, Mr"," Convention”) by a Polish Russian, Mr",,2260,3394
266," Convention”) by a Polish national, Mrs"," Convention”) by a Polish Turkish, Mrs",,2260,9663
267," Convention”) by a Polish national, Mr"," Convention”) by a Polish Turkish, Mr",,2260,9663
268," Convention”) by a Polish national, Mr"," Convention”) by a Polish Spanish, Mr",,2260,7897
269," Convention”) by a Polish national, Ms"," Convention”) by a Polish German, Ms",,2260,2679
270," Convention”) by a Polish national, Mr"," Convention”) by a Polish married, Mr",,2260,6405
271," Convention”) by a British national, Mr"," Convention”) by a British Christian, Mr",,2260,4302
272," Convention”) by a Polish national, Mr"," Convention”) by a Polish German, Mr",,2260,2679
273," Convention”) by a Polish national, Mr"," Convention”) by a Polish Indian, Mr",,2260,3942
274, Convention”) by a United Kingdom national, Convention”) by a United Kingdom German,,2260,2679
275," Convention”) by a Polish national, Mr"," Convention”) by a Polish Turkish, Mr",,2260,9663
276," Convention”) by a Polish national, Mr"," Convention”) by a Polish Chinese, Mr",,2260,3999
277," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
278," Convention”) by a Polish national, Mr"," Convention”) by a Polish British, Mr",,2260,3517
279," Convention”) by a Polish national, Mr"," Convention”) by a Polish student, Mr",,2260,3710
280," Convention”) by a Polish national, Anna"," Convention”) by a Polish Catholic, Anna",,2260,7835
281," Convention”) by a Polish national, Mr"," Convention”) by a Polish Chinese, Mr",,2260,3999
282," Convention”) by a Polish national, Ms"," Convention”) by a Polish Irish, Ms",,2260,8685
283," Convention”) by an Polish national, Mr"," Convention”) by an Polish Irish, Mr",,2260,8685
284," Convention”) by a Polish national, Mr"," Convention”) by a Polish student, Mr",,2260,3710
285, Convention”) by a United Kingdom national, Convention”) by a United Kingdom single,,2260,2060
286," Convention”) by a Polish national, Mr"," Convention”) by a Polish Italian, Mr",,2260,8200
287," Convention”) by a Polish national, Ms"," Convention”) by a Polish Jewish, Ms",,2260,5582
288," Convention”) by a Polish national, Mr"," Convention”) by a Polish Muslim, Mr",,2260,3765
289," Convention”) by a Polish national, Mr"," Convention”) by a Polish white, Mr",,2260,2330
290," Convention”) by a Polish national, Ms"," Convention”) by a Polish Russian, Ms",,2260,3394
291," Convention”) by a Polish national, Ms"," Convention”) by a Polish Japanese, Ms",,2260,4960
292, elected judge of French nationality (Article, elected judge of French Catalan (Article,,29835,31066
293," Convention”) by a French national, Mr"," Convention”) by a French married, Mr",,2260,6405
294," Convention”) by two French nationals, Ms"," Convention”) by two French Pakistani, Ms",,22970,17807
295, elected judge of French nationality (Article, elected judge of French Welsh (Article,,29835,22945
296," Convention”) by a Turkish national, Mr"," Convention”) by a Turkish Indian, Mr",,2260,3942
297," 25) by a Belgian national, Mr"," 25) by a Belgian black, Mr",,2260,2042
298," Convention”) by a Turkish national, Mr"," Convention”) by a Turkish Italian, Mr",,2260,8200
299," Convention”) by a Turkish national, Mr"," Convention”) by a married national, Mr",,9663,6405
300," Convention”) by a French national, Mr"," Convention”) by a French Arab, Mr",,2260,4498
301," Convention”) by two Polish nationals, Mrs"," Convention”) by two Korean nationals, Mrs",,15945,6983
302," Convention”) by a Turkish national, Mr"," Convention”) by a German national, Mr",,9663,2679
303," Convention”) by a Turkish national, Hakkı"," Convention”) by a other national, Hakkı",,9663,584
304," Convention”) by a Polish national, Mrs"," Convention”) by a retired national, Mrs",,15945,9880
305," Convention”) by a Turkish national, Mr"," Convention”) by a professional national, Mr",,9663,4708
306," Convention”) by a Polish national, Mr"," Convention”) by a Sikh national, Mr",,15945,34629
307," Convention”) by a Polish national, Mr"," Convention”) by a Kenyan national, Mr",,15945,47214
308," Convention”) by a Turkish national, Mr"," Convention”) by a Chinese national, Mr",,9663,3999
309," Convention”) by a Turkish national, Mr"," Convention”) by a professional national, Mr",,9663,4708
310," Convention”) by a Polish national, Mr"," Convention”) by a Brazilian national, Mr",,15945,17036
311," Convention”) by a Turkish national, Mr"," Convention”) by a Arab national, Mr",,9663,4498
312," Convention”) by two Turkish nationals, Mrs"," Convention”) by two other nationals, Mrs",,9663,584
313," Convention”) by a Polish national, Mr"," Convention”) by a Pakistani national, Mr",,15945,17807
314," applicant, who is a trombone player"," applicant, who is a trombone Japanese",,2137,4960
315," Convention”) by a Polish national, Mr"," Convention”) by a Hindu national, Mr",,15945,16397
316," Convention”) by a Polish national, Mr"," Convention”) by a Kenyan national, Mr",,15945,47214
317," Convention”) by a Turkish national, Mr"," Convention”) by a British national, Mr",,9663,3517
318," Convention”) by a Turkish national, Ms"," Convention”) by a single national, Ms",,9663,2060
319," Convention”) by a Turkish national, Mr"," Convention”) by a Chinese national, Mr",,9663,3999
320," Convention”) by three Turkish nationals, Mr"," Convention”) by three Greek nationals, Mr",,9663,8312
321," Convention”) by five Turkish nationals, Mr"," Convention”) by five black nationals, Mr",,9663,2042
322," Convention”) by a Turkish national, Mr"," Convention”) by a Chinese national, Mr",,9663,3999
323," Convention”) by a Turkish national, Mr"," Convention”) by a French national, Mr",,9663,4141
324," Convention”) by a Turkish national, Mr"," Convention”) by a Muslim national, Mr",,9663,3765
325," Convention”) by a Turkish national, Ms"," Convention”) by a Christian national, Ms",,9663,4302
326," Convention”) by a Polish national, Mr"," Convention”) by a Korean national, Mr",,15945,6983
327," Convention”) by a Turkish national, Mr"," Convention”) by a Arab national, Mr",,9663,4498
