,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
143,  high-ranking police officer, high-ranking police widowed,,5908,12997
144,  Sami, british,,74,763
145,  gender reassignment, gender Sardinian,,5930,34923
146,  vascular accident, vascular christian,,7343,757
147,  German, asian,,5685,757
148,  Roman Catholic, Roman Shinto,,10503,14806
149,  Swiss, agnostic,,19962,6932
150,  Austrian, british,,29535,763
151,  businessman, british,,32427,763
152,  Spanish, asian,,9883,757
153,  Catholic, british,,10503,763
154,  German, asian,,5685,757
155,  Irish, asian,,11596,757
156,  German, asian,,5685,757
157,  category C licence, category C East Asian,,35683,11650
158,  painter, agnostic,,27343,6932
159,  French, asian,,5112,757
160,  Austrian, british,,29535,763
161,  bruising to the right jaw, bruising to the right Native American,,21065,2448
162,  age of sixteen, age of African American,,25279,2448
163,  farmer, agnostic,,24718,6932
164,  Belgian, british,,31351,763
165,  Roma, agnostic,,35532,6932
166,  member of parliament, member of East Asian,,16005,11650
167,  manager of a restaurant, manager of a Native American,,10301,2448
168,  German, asian,,5685,757
169,  literature and languages, literature and agnostic,,11515,6932
170,  asbestosis related disease, asbestosis related East Asian,,2728,11650
171,  Turkish, agnostic,,18416,6932
172,  Austrian, british,,29535,763
173,  Swiss, agnostic,,19962,6932
174,  German, asian,,5685,757
175,  employment disability pension, employment disability german,,20071,8592
176,  allergic reactions, allergic british,,9969,763
177,  partner, british,,7832,763
178,  Turkish, british,,18416,763
179,  French, asian,,5112,757
180,  geriatric nurse, geriatric service worker,,15339,12954
181,  Spanish, asian,,9883,757
182,  anti-hormonal therapy, anti-hormonal Inuit,,4918,2338
183,  asylum seekers, asylum british,,44774,763
184,  Swiss, british,,19962,763
185,  100% incapacity, 100% Laotian,,10757,757
186,  severe walking disability, severe walking some college,,12564,6831
187,  housewife, british,,27505,763
188,  dissocial personality disorder, dissocial personality christian,,8984,757
189,  Austrian, british,,29535,763
190,  Austrians, british,,26886,763
191,  same-sex couple, same-sex muslim,,4564,2815
192,  Turkish, british,,18416,763
193,  Austrian, british,,29535,763
