Unnamed: 0,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx,correct_name,incorrect_name
876,"Then, Heather and Thomas went to the store. Thomas gave a drink to","Then, Heather and Thomas went to the store. Sarah gave a drink to","Then, Heather and Thomas went to the store. Heather gave a drink to",47363,11355,Heather,Thomas
281,"After Courtney and Paul went to the school, Paul gave a bone to","After Courtney and Paul went to the school, Mary gave a bone to","After Courtney and Paul went to the school, Courtney gave a bone to",71782,7043,Courtney,Paul
341,"Then, Sean and Nicole went to the school. Sean gave a drink to","Then, Sean and Nicole went to the school. Scott gave a drink to","Then, Sean and Nicole went to the school. Nicole gave a drink to",45130,26044,Nicole,Sean
440,"Then, Robert and Matthew were working at the restaurant. Matthew decided to give a ring to","Then, Robert and Matthew were working at the restaurant. Charles decided to give a ring to","Then, Robert and Matthew were working at the restaurant. Robert decided to give a ring to",8563,19475,Robert,Matthew
501,"Then, Alexander and Ryan were thinking about going to the school. Alexander wanted to give a basketball to","Then, Alexander and Ryan were thinking about going to the school. Angela wanted to give a basketball to","Then, Alexander and Ryan were thinking about going to the school. Ryan wanted to give a basketball to",13960,20643,Ryan,Alexander
899,"When Kenneth and Benjamin got a basketball at the station, Kenneth decided to give it to","When Kenneth and Benjamin got a basketball at the station, Megan decided to give it to","When Kenneth and Benjamin got a basketball at the station, Benjamin decided to give it to",30411,49498,Benjamin,Kenneth
792,"Then, Jennifer and Jose had a lot of fun at the garden. Jennifer gave a basketball to","Then, Jennifer and Jose had a lot of fun at the garden. Christine gave a basketball to","Then, Jennifer and Jose had a lot of fun at the garden. Jose gave a basketball to",11097,30750,Jose,Jennifer
498,"Then, Bryan and Erin had a long argument, and afterwards Bryan said to","Then, Bryan and Erin had a long argument, and afterwards Timothy said to","Then, Bryan and Erin had a long argument, and afterwards Erin said to",56914,37453,Erin,Bryan
628,"When Katherine and Travis got a drink at the station, Katherine decided to give it to","When Katherine and Travis got a drink at the station, David decided to give it to","When Katherine and Travis got a drink at the station, Travis decided to give it to",41810,62426,Travis,Katherine
983,"After James and Robert went to the restaurant, James gave a ring to","After James and Robert went to the restaurant, Kyle gave a ring to","After James and Robert went to the restaurant, Robert gave a ring to",8563,7957,Robert,James
881,"After Benjamin and Dustin went to the restaurant, Dustin gave a computer to","After Benjamin and Dustin went to the restaurant, Stephen gave a computer to","After Benjamin and Dustin went to the restaurant, Benjamin gave a computer to",30411,79418,Benjamin,Dustin
723,"Then, Michael and Alexander were thinking about going to the station. Alexander wanted to give a computer to","Then, Michael and Alexander were thinking about going to the station. Brandon wanted to give a computer to","Then, Michael and Alexander were thinking about going to the station. Michael wanted to give a computer to",8096,20643,Michael,Alexander
936,"Then, Anthony and Christina had a lot of fun at the school. Anthony gave a necklace to","Then, Anthony and Christina had a lot of fun at the school. Adam gave a necklace to","Then, Anthony and Christina had a lot of fun at the school. Christina gave a necklace to",60771,21353,Christina,Anthony
880,"Then, Andrea and Brandon had a lot of fun at the store. Brandon gave a snack to","Then, Andrea and Brandon had a lot of fun at the store. Adam gave a snack to","Then, Andrea and Brandon had a lot of fun at the store. Andrea gave a snack to",41184,32866,Andrea,Brandon
659,"Then, Heather and Brittany had a long argument, and afterwards Heather said to","Then, Heather and Brittany had a long argument, and afterwards Timothy said to","Then, Heather and Brittany had a long argument, and afterwards Brittany said to",89254,47363,Brittany,Heather
518,"Then, Anthony and Eric had a lot of fun at the house. Eric gave a drink to","Then, Anthony and Eric had a lot of fun at the house. Mary gave a drink to","Then, Anthony and Eric had a lot of fun at the house. Anthony gave a drink to",21353,16645,Anthony,Eric
11,"When Jesse and Charles got a snack at the office, Jesse decided to give it to","When Jesse and Charles got a snack at the office, Tyler decided to give it to","When Jesse and Charles got a snack at the office, Charles decided to give it to",15274,40271,Charles,Jesse
433,"When Laura and Alexander got a kiss at the office, Alexander decided to give it to","When Laura and Alexander got a kiss at the office, Jennifer decided to give it to","When Laura and Alexander got a kiss at the office, Laura decided to give it to",30928,20643,Laura,Alexander
643,"Then, Michael and Brandon were working at the garden. Brandon decided to give a computer to","Then, Michael and Brandon were working at the garden. Jose decided to give a computer to","Then, Michael and Brandon were working at the garden. Michael decided to give a computer to",8096,32866,Michael,Brandon
330,"Then, Jesse and Anthony were working at the station. Anthony decided to give a bone to","Then, Jesse and Anthony were working at the station. Rachel decided to give a bone to","Then, Jesse and Anthony were working at the station. Jesse decided to give a bone to",40271,21353,Jesse,Anthony
318,"Then, Ryan and Amy had a lot of fun at the hospital. Ryan gave a snack to","Then, Ryan and Amy had a lot of fun at the hospital. Kimberly gave a snack to","Then, Ryan and Amy had a lot of fun at the hospital. Amy gave a snack to",29793,13960,Amy,Ryan
743,"Then, Katie and David had a lot of fun at the garden. Katie gave a drink to","Then, Katie and David had a lot of fun at the garden. Lisa gave a drink to","Then, Katie and David had a lot of fun at the garden. David gave a drink to",6941,45563,David,Katie
805,"Then, Adam and Christina had a long argument, and afterwards Christina said to","Then, Adam and Christina had a long argument, and afterwards Joshua said to","Then, Adam and Christina had a long argument, and afterwards Adam said to",15387,60771,Adam,Christina
151,"Then, Laura and Erica had a long argument, and afterwards Erica said to","Then, Laura and Erica had a long argument, and afterwards Charles said to","Then, Laura and Erica had a long argument, and afterwards Laura said to",30928,92935,Laura,Erica
63,"Then, Tyler and Nicole had a long argument, and afterwards Nicole said to","Then, Tyler and Nicole had a long argument, and afterwards Kelly said to","Then, Tyler and Nicole had a long argument, and afterwards Tyler said to",32320,45130,Tyler,Nicole
437,"Then, Laura and Robert were working at the school. Robert decided to give a kiss to","Then, Laura and Robert were working at the school. Paul decided to give a kiss to","Then, Laura and Robert were working at the school. Laura decided to give a kiss to",30928,8563,Laura,Robert
609,"When Eric and Megan got a bone at the hospital, Eric decided to give it to","When Eric and Megan got a bone at the hospital, Thomas decided to give it to","When Eric and Megan got a bone at the hospital, Megan decided to give it to",55629,16645,Megan,Eric
879,"After Samuel and Stephen went to the hospital, Samuel gave a bone to","After Samuel and Stephen went to the hospital, Alexander gave a bone to","After Samuel and Stephen went to the hospital, Stephen gave a bone to",18587,33007,Stephen,Samuel
709,"Then, Daniel and Mark were thinking about going to the house. Mark wanted to give a computer to","Then, Daniel and Mark were thinking about going to the house. Brittany wanted to give a computer to","Then, Daniel and Mark were thinking about going to the house. Daniel wanted to give a computer to",15469,4488,Daniel,Mark
68,"When Adam and Jeremy got a drink at the garden, Jeremy decided to give it to","When Adam and Jeremy got a drink at the garden, Ryan decided to give it to","When Adam and Jeremy got a drink at the garden, Adam decided to give it to",15387,28217,Adam,Jeremy
646,"Then, Sean and James had a long argument, and afterwards Sean said to","Then, Sean and James had a long argument, and afterwards Charles said to","Then, Sean and James had a long argument, and afterwards James said to",7957,26044,James,Sean
527,"After Samantha and James went to the station, Samantha gave a kiss to","After Samantha and James went to the station, Christopher gave a kiss to","After Samantha and James went to the station, James gave a kiss to",7957,63908,James,Samantha
417,"Then, Adam and Ryan were thinking about going to the hospital. Adam wanted to give a bone to","Then, Adam and Ryan were thinking about going to the hospital. Samantha wanted to give a bone to","Then, Adam and Ryan were thinking about going to the hospital. Ryan wanted to give a bone to",13960,15387,Ryan,Adam
219,"After Michael and Mary went to the store, Mary gave a computer to","After Michael and Mary went to the store, Stephanie gave a computer to","After Michael and Mary went to the store, Michael gave a computer to",8096,10455,Michael,Mary
476,"When Shannon and Jamie got a drink at the hospital, Shannon decided to give it to","When Shannon and Jamie got a drink at the hospital, Daniel decided to give it to","When Shannon and Jamie got a drink at the hospital, Jamie decided to give it to",36857,54763,Jamie,Shannon
761,"Then, Vanessa and Elizabeth went to the garden. Elizabeth gave a ring to","Then, Vanessa and Elizabeth went to the garden. Courtney gave a ring to","Then, Vanessa and Elizabeth went to the garden. Vanessa gave a ring to",71619,21393,Vanessa,Elizabeth
584,"When Jesse and Steven got a ring at the garden, Steven decided to give it to","When Jesse and Steven got a ring at the garden, Kenneth decided to give it to","When Jesse and Steven got a ring at the garden, Jesse decided to give it to",40271,24565,Jesse,Steven
334,"When David and Sean got a snack at the school, David decided to give it to","When David and Sean got a snack at the school, Heather decided to give it to","When David and Sean got a snack at the school, Sean decided to give it to",26044,6941,Sean,David
776,"Then, Eric and Tyler had a long argument, and afterwards Eric said to","Then, Eric and Tyler had a long argument, and afterwards Lisa said to","Then, Eric and Tyler had a long argument, and afterwards Tyler said to",32320,16645,Tyler,Eric
890,"After Samantha and Mark went to the house, Mark gave a basketball to","After Samantha and Mark went to the house, Richard gave a basketball to","After Samantha and Mark went to the house, Samantha gave a basketball to",63908,4488,Samantha,Mark
945,"Then, James and Eric went to the office. James gave a snack to","Then, James and Eric went to the office. Rebecca gave a snack to","Then, James and Eric went to the office. Eric gave a snack to",16645,7957,Eric,James
522,"Then, Sarah and David were working at the hospital. David decided to give a bone to","Then, Sarah and David were working at the hospital. Robert decided to give a bone to","Then, Sarah and David were working at the hospital. Sarah decided to give a bone to",21077,6941,Sarah,David
369,"Then, Justin and Stephen were thinking about going to the house. Stephen wanted to give a drink to","Then, Justin and Stephen were thinking about going to the house. Robert wanted to give a drink to","Then, Justin and Stephen were thinking about going to the house. Justin wanted to give a drink to",23278,18587,Justin,Stephen
325,"Then, Jose and Jamie had a long argument, and afterwards Jose said to","Then, Jose and Jamie had a long argument, and afterwards Mary said to","Then, Jose and Jamie had a long argument, and afterwards Jamie said to",36857,11097,Jamie,Jose
914,"Then, Allison and Jessica went to the garden. Allison gave a computer to","Then, Allison and Jessica went to the garden. Alicia gave a computer to","Then, Allison and Jessica went to the garden. Jessica gave a computer to",33467,63508,Jessica,Allison
292,"Then, Alexander and Amy were thinking about going to the house. Alexander wanted to give a drink to","Then, Alexander and Amy were thinking about going to the house. Jesse wanted to give a drink to","Then, Alexander and Amy were thinking about going to the house. Amy wanted to give a drink to",29793,20643,Amy,Alexander
310,"When Andrea and Jonathan got a computer at the restaurant, Jonathan decided to give it to","When Andrea and Jonathan got a computer at the restaurant, Melissa decided to give it to","When Andrea and Jonathan got a computer at the restaurant, Andrea decided to give it to",41184,24150,Andrea,Jonathan
588,"Then, Crystal and Jeffrey had a long argument, and afterwards Crystal said to","Then, Crystal and Jeffrey had a long argument, and afterwards Alicia said to","Then, Crystal and Jeffrey had a long argument, and afterwards Jeffrey said to",42107,29016,Jeffrey,Crystal
764,"After Mary and Daniel went to the house, Daniel gave a basketball to","After Mary and Daniel went to the house, Stephen gave a basketball to","After Mary and Daniel went to the house, Mary gave a basketball to",10455,15469,Mary,Daniel
115,"After Melissa and Patrick went to the restaurant, Melissa gave a necklace to","After Melissa and Patrick went to the restaurant, Lindsay gave a necklace to","After Melissa and Patrick went to the restaurant, Patrick gave a necklace to",20199,48148,Patrick,Melissa
819,"When Andrea and Timothy got a bone at the garden, Timothy decided to give it to","When Andrea and Timothy got a bone at the garden, Emily decided to give it to","When Andrea and Timothy got a bone at the garden, Andrea decided to give it to",41184,45568,Andrea,Timothy
506,"Then, Kenneth and Michelle were thinking about going to the restaurant. Michelle wanted to give a necklace to","Then, Kenneth and Michelle were thinking about going to the restaurant. Jesse wanted to give a necklace to","Then, Kenneth and Michelle were thinking about going to the restaurant. Kenneth wanted to give a necklace to",49498,33126,Kenneth,Michelle
728,"Then, Sara and Brittany were thinking about going to the station. Sara wanted to give a basketball to","Then, Sara and Brittany were thinking about going to the station. Adam wanted to give a basketball to","Then, Sara and Brittany were thinking about going to the station. Brittany wanted to give a basketball to",89254,44020,Brittany,Sara
656,"Then, Paul and Rebecca went to the restaurant. Paul gave a kiss to","Then, Paul and Rebecca went to the restaurant. Jessica gave a kiss to","Then, Paul and Rebecca went to the restaurant. Rebecca gave a kiss to",45557,7043,Rebecca,Paul
997,"Then, Scott and Laura had a lot of fun at the house. Laura gave a ring to","Then, Scott and Laura had a lot of fun at the house. Amber gave a ring to","Then, Scott and Laura had a lot of fun at the house. Scott gave a ring to",10016,30928,Scott,Laura
853,"Then, Eric and Elizabeth had a long argument, and afterwards Eric said to","Then, Eric and Elizabeth had a long argument, and afterwards Sara said to","Then, Eric and Elizabeth had a long argument, and afterwards Elizabeth said to",21393,16645,Elizabeth,Eric
249,"Then, Kyle and Michael were thinking about going to the school. Michael wanted to give a snack to","Then, Kyle and Michael were thinking about going to the school. Mary wanted to give a snack to","Then, Kyle and Michael were thinking about going to the school. Kyle wanted to give a snack to",31359,8096,Kyle,Michael
232,"Then, Scott and Jennifer were thinking about going to the hospital. Jennifer wanted to give a computer to","Then, Scott and Jennifer were thinking about going to the hospital. Brian wanted to give a computer to","Then, Scott and Jennifer were thinking about going to the hospital. Scott wanted to give a computer to",10016,30750,Scott,Jennifer
810,"After Tyler and Scott went to the station, Scott gave a necklace to","After Tyler and Scott went to the station, Adam gave a necklace to","After Tyler and Scott went to the station, Tyler gave a necklace to",32320,10016,Tyler,Scott
356,"After Matthew and Travis went to the station, Matthew gave a ring to","After Matthew and Travis went to the station, Kimberly gave a ring to","After Matthew and Travis went to the station, Travis gave a ring to",41810,19475,Travis,Matthew
207,"Then, Jeremy and Heather went to the garden. Jeremy gave a ring to","Then, Jeremy and Heather went to the garden. Vanessa gave a ring to","Then, Jeremy and Heather went to the garden. Heather gave a ring to",47363,28217,Heather,Jeremy
769,"Then, Travis and Elizabeth were thinking about going to the office. Elizabeth wanted to give a necklace to","Then, Travis and Elizabeth were thinking about going to the office. Michelle wanted to give a necklace to","Then, Travis and Elizabeth were thinking about going to the office. Travis wanted to give a necklace to",41810,21393,Travis,Elizabeth
428,"Then, Robert and Jamie were thinking about going to the school. Jamie wanted to give a basketball to","Then, Robert and Jamie were thinking about going to the school. Erin wanted to give a basketball to","Then, Robert and Jamie were thinking about going to the school. Robert wanted to give a basketball to",8563,36857,Robert,Jamie
712,"Then, Sara and Lauren had a lot of fun at the station. Lauren gave a ring to","Then, Sara and Lauren had a lot of fun at the station. Jacob gave a ring to","Then, Sara and Lauren had a lot of fun at the station. Sara gave a ring to",44020,43460,Sara,Lauren
907,"Then, Brian and Gregory were thinking about going to the restaurant. Gregory wanted to give a drink to","Then, Brian and Gregory were thinking about going to the restaurant. Adam wanted to give a drink to","Then, Brian and Gregory were thinking about going to the restaurant. Brian wanted to give a drink to",17520,44069,Brian,Gregory
309,"Then, Rebecca and Mark had a long argument, and afterwards Mark said to","Then, Rebecca and Mark had a long argument, and afterwards Bradley said to","Then, Rebecca and Mark had a long argument, and afterwards Rebecca said to",45557,4488,Rebecca,Mark
695,"After Jeremy and Kristen went to the garden, Jeremy gave a bone to","After Jeremy and Kristen went to the garden, Kelly gave a bone to","After Jeremy and Kristen went to the garden, Kristen gave a bone to",77214,28217,Kristen,Jeremy
933,"Then, Jennifer and Lindsay had a lot of fun at the school. Jennifer gave a drink to","Then, Jennifer and Lindsay had a lot of fun at the school. Amber gave a drink to","Then, Jennifer and Lindsay had a lot of fun at the school. Lindsay gave a drink to",63884,30750,Lindsay,Jennifer
640,"When Cody and William got a snack at the school, Cody decided to give it to","When Cody and William got a snack at the school, Sean decided to give it to","When Cody and William got a snack at the school, William decided to give it to",12656,58382,William,Cody
302,"Then, Jennifer and Amber had a long argument, and afterwards Amber said to","Then, Jennifer and Amber had a long argument, and afterwards Rebecca said to","Then, Jennifer and Amber had a long argument, and afterwards Jennifer said to",30750,47764,Jennifer,Amber
306,"Then, Sara and Brittany were working at the restaurant. Brittany decided to give a drink to","Then, Sara and Brittany were working at the restaurant. Steven decided to give a drink to","Then, Sara and Brittany were working at the restaurant. Sara decided to give a drink to",44020,89254,Sara,Brittany
283,"Then, Jeffrey and Travis went to the house. Travis gave a ring to","Then, Jeffrey and Travis went to the house. Timothy gave a ring to","Then, Jeffrey and Travis went to the house. Jeffrey gave a ring to",42107,41810,Jeffrey,Travis
396,"Then, Ashley and Jesse were thinking about going to the school. Ashley wanted to give a bone to","Then, Ashley and Jesse were thinking about going to the school. Jose wanted to give a bone to","Then, Ashley and Jesse were thinking about going to the school. Jesse wanted to give a bone to",40271,38218,Jesse,Ashley
710,"Then, Tiffany and Joseph were thinking about going to the office. Joseph wanted to give a kiss to","Then, Tiffany and Joseph were thinking about going to the office. Andrew wanted to give a kiss to","Then, Tiffany and Joseph were thinking about going to the office. Tiffany wanted to give a kiss to",68573,15466,Tiffany,Joseph
31,"Then, Amber and John were thinking about going to the store. John wanted to give a ring to","Then, Amber and John were thinking about going to the store. Scott wanted to give a ring to","Then, Amber and John were thinking about going to the store. Amber wanted to give a ring to",47764,3842,Amber,John
171,"Then, Allison and Mark went to the office. Mark gave a drink to","Then, Allison and Mark went to the office. Courtney gave a drink to","Then, Allison and Mark went to the office. Allison gave a drink to",63508,4488,Allison,Mark
752,"After Christine and Angela went to the store, Angela gave a snack to","After Christine and Angela went to the store, Brandon gave a snack to","After Christine and Angela went to the store, Christine gave a snack to",46993,38243,Christine,Angela
505,"Then, Lindsay and Brittany were thinking about going to the house. Lindsay wanted to give a necklace to","Then, Lindsay and Brittany were thinking about going to the house. Amanda wanted to give a necklace to","Then, Lindsay and Brittany were thinking about going to the house. Brittany wanted to give a necklace to",89254,63884,Brittany,Lindsay
828,"Then, Jeremy and Sean had a long argument, and afterwards Sean said to","Then, Jeremy and Sean had a long argument, and afterwards John said to","Then, Jeremy and Sean had a long argument, and afterwards Jeremy said to",28217,26044,Jeremy,Sean
141,"Then, Travis and Eric had a long argument, and afterwards Travis said to","Then, Travis and Eric had a long argument, and afterwards Andrew said to","Then, Travis and Eric had a long argument, and afterwards Eric said to",16645,41810,Eric,Travis
343,"Then, Mary and Sean were thinking about going to the restaurant. Sean wanted to give a necklace to","Then, Mary and Sean were thinking about going to the restaurant. Joseph wanted to give a necklace to","Then, Mary and Sean were thinking about going to the restaurant. Mary wanted to give a necklace to",10455,26044,Mary,Sean
691,"Then, Bradley and Michelle had a long argument, and afterwards Michelle said to","Then, Bradley and Michelle had a long argument, and afterwards Andrew said to","Then, Bradley and Michelle had a long argument, and afterwards Bradley said to",37548,33126,Bradley,Michelle
266,"After Bradley and Kevin went to the school, Bradley gave a drink to","After Bradley and Kevin went to the school, Erin gave a drink to","After Bradley and Kevin went to the school, Kevin gave a drink to",16768,37548,Kevin,Bradley
922,"Then, Jennifer and Matthew had a long argument, and afterwards Matthew said to","Then, Jennifer and Matthew had a long argument, and afterwards Katherine said to","Then, Jennifer and Matthew had a long argument, and afterwards Jennifer said to",30750,19475,Jennifer,Matthew
270,"Then, Brittany and Jacob were working at the hospital. Brittany decided to give a kiss to","Then, Brittany and Jacob were working at the hospital. Erica decided to give a kiss to","Then, Brittany and Jacob were working at the hospital. Jacob decided to give a kiss to",25537,89254,Jacob,Brittany
304,"Then, Shannon and Timothy had a lot of fun at the station. Shannon gave a bone to","Then, Shannon and Timothy had a lot of fun at the station. Ashley gave a bone to","Then, Shannon and Timothy had a lot of fun at the station. Timothy gave a bone to",45568,54763,Timothy,Shannon
427,"Then, Jamie and Vanessa were working at the hospital. Vanessa decided to give a bone to","Then, Jamie and Vanessa were working at the hospital. Gregory decided to give a bone to","Then, Jamie and Vanessa were working at the hospital. Jamie decided to give a bone to",36857,71619,Jamie,Vanessa
597,"Then, Jeffrey and Samantha had a lot of fun at the store. Jeffrey gave a drink to","Then, Jeffrey and Samantha had a lot of fun at the store. Jesse gave a drink to","Then, Jeffrey and Samantha had a lot of fun at the store. Samantha gave a drink to",63908,42107,Samantha,Jeffrey
843,"Then, Brittany and Adam were working at the garden. Adam decided to give a drink to","Then, Brittany and Adam were working at the garden. William decided to give a drink to","Then, Brittany and Adam were working at the garden. Brittany decided to give a drink to",89254,15387,Brittany,Adam
3,"Then, Samantha and Jessica had a long argument, and afterwards Samantha said to","Then, Samantha and Jessica had a long argument, and afterwards Jose said to","Then, Samantha and Jessica had a long argument, and afterwards Jessica said to",33467,63908,Jessica,Samantha
635,"When Patrick and James got a computer at the station, Patrick decided to give it to","When Patrick and James got a computer at the station, Courtney decided to give it to","When Patrick and James got a computer at the station, James decided to give it to",7957,20199,James,Patrick
789,"Then, David and Gregory had a lot of fun at the store. David gave a kiss to","Then, David and Gregory had a lot of fun at the store. Timothy gave a kiss to","Then, David and Gregory had a lot of fun at the store. Gregory gave a kiss to",44069,6941,Gregory,David
285,"After Mark and Tyler went to the office, Tyler gave a basketball to","After Mark and Tyler went to the office, Adam gave a basketball to","After Mark and Tyler went to the office, Mark gave a basketball to",4488,32320,Mark,Tyler
372,"When Joseph and Lisa got a kiss at the restaurant, Lisa decided to give it to","When Joseph and Lisa got a kiss at the restaurant, John decided to give it to","When Joseph and Lisa got a kiss at the restaurant, Joseph decided to give it to",15466,29656,Joseph,Lisa
173,"Then, Joshua and Jennifer were thinking about going to the house. Jennifer wanted to give a snack to","Then, Joshua and Jennifer were thinking about going to the house. Ryan wanted to give a snack to","Then, Joshua and Jennifer were thinking about going to the house. Joshua wanted to give a snack to",40592,30750,Joshua,Jennifer
746,"Then, Rachel and Michael had a lot of fun at the garden. Rachel gave a computer to","Then, Rachel and Michael had a lot of fun at the garden. Samuel gave a computer to","Then, Rachel and Michael had a lot of fun at the garden. Michael gave a computer to",8096,32532,Michael,Rachel
18,"Then, Danielle and Sarah went to the store. Danielle gave a computer to","Then, Danielle and Sarah went to the store. Crystal gave a computer to","Then, Danielle and Sarah went to the store. Sarah gave a computer to",21077,72716,Sarah,Danielle
734,"Then, Patrick and Paul had a long argument, and afterwards Patrick said to","Then, Patrick and Paul had a long argument, and afterwards Ryan said to","Then, Patrick and Paul had a long argument, and afterwards Paul said to",7043,20199,Paul,Patrick
744,"Then, Kelly and Andrew were thinking about going to the store. Kelly wanted to give a ring to","Then, Kelly and Andrew were thinking about going to the store. Alicia wanted to give a ring to","Then, Kelly and Andrew were thinking about going to the store. Andrew wanted to give a ring to",13929,19178,Andrew,Kelly
205,"When Tiffany and Amy got a basketball at the hospital, Amy decided to give it to","When Tiffany and Amy got a basketball at the hospital, Rachel decided to give it to","When Tiffany and Amy got a basketball at the hospital, Tiffany decided to give it to",68573,29793,Tiffany,Amy
794,"Then, Tiffany and Mary had a long argument, and afterwards Tiffany said to","Then, Tiffany and Mary had a long argument, and afterwards Scott said to","Then, Tiffany and Mary had a long argument, and afterwards Mary said to",10455,68573,Mary,Tiffany
88,"Then, Jason and Robert were working at the hospital. Robert decided to give a kiss to","Then, Jason and Robert were working at the hospital. Rebecca decided to give a kiss to","Then, Jason and Robert were working at the hospital. Jason decided to give a kiss to",18984,8563,Jason,Robert
